image_path,true_celebrity,predicted_celebrity,confidence,correct,model,classifier
henry_golding2.jpg,henrygolding,priyankachopra,0.7683185,False,AdaFace,1NN
"1200px-Carmen_Roberts_and_Henry_Golding,_Presenters,_The_Travel_Show,_BBC_(cropped).jpg",henrygolding,henrygolding,0.67017055,True,AdaFace,1NN
images (14).jpeg,henrygolding,ronnychieng,0.7936206,False,AdaFace,1NN
images (94).jpeg,henrygolding,henrygolding,0.6869832,True,AdaFace,1NN
images - 2025-07-22T154439.130.jpeg,henrygolding,priyankachopra,0.7860369,False,AdaFace,1NN
henrygolding.jpg,henrygolding,henrygolding,0.9530238,True,AdaFace,1NN
download (5).jpeg,henrygolding,henrygolding,0.80081934,True,AdaFace,1NN
images - 2025-07-22T154439.413.jpeg,henrygolding,henrygolding,0.7570559,True,AdaFace,1NN
images - 2025-07-22T154439.547.jpeg,henrygolding,ronnychieng,0.8410315,False,AdaFace,1NN
images - 2025-07-22T154439.383.jpeg,henrygolding,ronnychieng,0.69084066,False,AdaFace,1NN
download (18).jpeg,henrygolding,henrygolding,0.74700665,True,AdaFace,1NN
images - 2025-07-22T154439.072.jpeg,henrygolding,henrygolding,0.7732588,True,AdaFace,1NN
images - 2025-07-22T154439.226.jpeg,henrygolding,ronnychieng,0.7200073,False,AdaFace,1NN
rs_1200x1200-220309073150-1200-henry-golding-for-david-yurman-gj.jpg,henrygolding,henrygolding,0.8653549,True,AdaFace,1NN
HenryGoldingCrazyRichAsians.jpg,henrygolding,henrygolding,0.8505198,True,AdaFace,1NN
images - 2025-07-22T154439.359.jpeg,henrygolding,henrygolding,0.8089185,True,AdaFace,1NN
download (9).jpeg,henrygolding,henrygolding,0.7535901,True,AdaFace,1NN
_103395645_warnerbros_cra-01079.jpg,henrygolding,henrygolding,0.7853093,True,AdaFace,1NN
Henry_Golding_at_the_2024_Toronto_International_Film_Festival_(Cropped).jpg,henrygolding,henrygolding,0.7805854,True,AdaFace,1NN
download (11).jpeg,henrygolding,yangmi,0.7521119,False,AdaFace,1NN
images - 2025-07-22T154439.529.jpeg,henrygolding,henrygolding,0.7110462,True,AdaFace,1NN
images (59).jpeg,henrygolding,ronnychieng,0.7987665,False,AdaFace,1NN
images - 2025-07-22T154439.198.jpeg,henrygolding,henrygolding,0.9003352,True,AdaFace,1NN
images (94).jpeg,urassayasperbund,priyankachopra,0.66808164,False,AdaFace,1NN
images - 2025-07-22T160915.784.jpeg,urassayasperbund,priyankachopra,0.74772346,False,AdaFace,1NN
cac-tap-phim-co-su-tham-gia-cua-urassaya-sperbund-thumbail.jpg,urassayasperbund,urassayasperbund,0.7617225,True,AdaFace,1NN
images - 2025-07-22T160915.516.jpeg,urassayasperbund,henrygolding,0.77302027,False,AdaFace,1NN
images - 2025-07-22T160915.524.jpeg,urassayasperbund,irrfankhan,0.764676,False,AdaFace,1NN
images (83).jpeg,urassayasperbund,gongli,0.5638849,False,AdaFace,1NN
images (82).jpeg,urassayasperbund,urassayasperbund,0.7182027,True,AdaFace,1NN
images - 2025-07-22T160916.133.jpeg,urassayasperbund,yangmi,0.8426046,False,AdaFace,1NN
images - 2025-07-22T160915.486.jpeg,urassayasperbund,henrygolding,0.6919399,False,AdaFace,1NN
download (16).jpeg,urassayasperbund,urassayasperbund,0.84361535,True,AdaFace,1NN
download (21).jpeg,urassayasperbund,urassayasperbund,0.79867566,True,AdaFace,1NN
images - 2025-07-22T160916.128.jpeg,urassayasperbund,gongli,0.6831324,False,AdaFace,1NN
download (14).jpeg,urassayasperbund,urassayasperbund,0.9545334,True,AdaFace,1NN
images (26).jpeg,urassayasperbund,urassayasperbund,0.69844025,True,AdaFace,1NN
download (26).jpeg,urassayasperbund,yangmi,0.77821696,False,AdaFace,1NN
2849b192-75db-43b7-9e73-7bbc0697c5cd_11.jpeg,urassayasperbund,urassayasperbund,0.8445951,True,AdaFace,1NN
images - 2025-07-22T160915.845.jpeg,urassayasperbund,urassayasperbund,0.6618212,True,AdaFace,1NN
urassaya-sperbund-d39bf871-90d2-4bc5-bfb2-c82f127de37-resize-750.jpeg,urassayasperbund,urassayasperbund,0.8233067,True,AdaFace,1NN
urassaya-sperbund-attends-the-louis-vuitton-fallwinter-2023-2024-ready-to-wear-collection-presented-monday-march-6-2023-in-paris-vianney-le-caerinvisionap-2P51JY8.jpg,urassayasperbund,urassayasperbund,0.956091,True,AdaFace,1NN
images - 2025-07-22T155411.111.jpeg,gongli,yangmi,0.7323563,False,AdaFace,1NN
images - 2025-07-22T155411.098.jpeg,gongli,gongli,0.91846395,True,AdaFace,1NN
images (27).jpeg,gongli,gongli,0.5557111,True,AdaFace,1NN
GONG-LI_Head-of-Jury-for-the-55th-GHA-e1531859364238.jpg,gongli,gongli,0.95533156,True,AdaFace,1NN
images - 2025-07-22T155411.125.jpeg,gongli,priyankachopra,0.75268495,False,AdaFace,1NN
images - 2025-07-22T155411.288.jpeg,gongli,priyankachopra,0.80973274,False,AdaFace,1NN
hq720.jpg,gongli,yangmi,0.8198068,False,AdaFace,1NN
images - 2025-07-22T155411.116.jpeg,gongli,priyankachopra,0.76141846,False,AdaFace,1NN
images - 2025-07-22T155411.131.jpeg,gongli,gongli,0.73655975,True,AdaFace,1NN
download (7).jpeg,gongli,sitinurhaliza,0.7585176,False,AdaFace,1NN
250px-Gong_Li_Cannes_2011.jpg,gongli,gongli,0.89656913,True,AdaFace,1NN
images (6).jpeg,gongli,henrygolding,0.7398,False,AdaFace,1NN
download (11).jpeg,gongli,sitinurhaliza,0.7364068,False,AdaFace,1NN
images (37).jpeg,gongli,priyankachopra,0.7653643,False,AdaFace,1NN
001ec9790963150dec6d00.jpg,gongli,yangmi,0.60642755,False,AdaFace,1NN
images - 2025-07-22T155411.369.jpeg,gongli,yangmi,0.85295784,False,AdaFace,1NN
images (20).jpeg,ronnychieng,ronnychieng,0.76939565,True,AdaFace,1NN
images - 2025-07-22T154841.136.jpeg,ronnychieng,ronnychieng,0.8147472,True,AdaFace,1NN
images (7).jpeg,ronnychieng,henrygolding,0.7576151,False,AdaFace,1NN
images (43).jpeg,ronnychieng,henrygolding,0.7428687,False,AdaFace,1NN
ronny-chieng-martial-arts-comedy-film-project-696x442.jpg,ronnychieng,ronnychieng,0.7665248,True,AdaFace,1NN
images - 2025-07-22T154841.130.jpeg,ronnychieng,ronnychieng,0.6136658,True,AdaFace,1NN
images (38).jpeg,ronnychieng,ronnychieng,0.7437299,True,AdaFace,1NN
images (15).jpeg,ronnychieng,henrygolding,0.7808462,False,AdaFace,1NN
download (5).jpeg,ronnychieng,ronnychieng,0.6782937,True,AdaFace,1NN
images - 2025-07-22T154841.440.jpeg,ronnychieng,ronnychieng,0.75231326,True,AdaFace,1NN
images (96).jpeg,ronnychieng,ronnychieng,0.8189673,True,AdaFace,1NN
Ronny-Chieng-1.jpg,ronnychieng,ronnychieng,0.85738224,True,AdaFace,1NN
maxresdefault (1).jpg,ronnychieng,ronnychieng,0.776876,True,AdaFace,1NN
images (70).jpeg,ronnychieng,aaronaziz,0.78724754,False,AdaFace,1NN
download (9).jpeg,ronnychieng,henrygolding,0.7864348,False,AdaFace,1NN
images (89).jpeg,ronnychieng,irrfankhan,0.711444,False,AdaFace,1NN
