image_path,true_celebrity,predicted_celebrity,confidence,correct,model,classifier
henry_golding2.jpg,henrygolding,irrfankhan,0.8405032,False,ArcFace,1NN
"1200px-Carmen_Roberts_and_Henry_Golding,_Presenters,_The_Travel_Show,_BBC_(cropped).jpg",henrygolding,priyankachopra,0.8489267,False,ArcFace,1NN
images (14).jpeg,henrygolding,ronnychieng,0.93239903,False,ArcFace,1NN
images (94).jpeg,henrygolding,henrygolding,0.87528837,True,ArcFace,1NN
images - 2025-07-22T154439.130.jpeg,henrygolding,henrygolding,0.89499336,True,ArcFace,1NN
henrygolding.jpg,henrygolding,henrygolding,0.9788662,True,ArcFace,1NN
download (5).jpeg,henrygolding,henrygolding,0.89271396,True,ArcFace,1NN
images - 2025-07-22T154439.413.jpeg,henrygolding,henrygolding,0.8609653,True,ArcFace,1NN
images - 2025-07-22T154439.547.jpeg,henrygolding,aaronaziz,0.9591994,False,ArcFace,1NN
images - 2025-07-22T154439.383.jpeg,henrygolding,ronnychieng,0.7930726,False,ArcFace,1NN
download (18).jpeg,henrygolding,henrygolding,0.9025744,True,ArcFace,1NN
images - 2025-07-22T154439.072.jpeg,henrygolding,henrygolding,0.8953656,True,ArcFace,1NN
images - 2025-07-22T154439.226.jpeg,henrygolding,henrygolding,0.85874075,True,ArcFace,1NN
rs_1200x1200-220309073150-1200-henry-golding-for-david-yurman-gj.jpg,henrygolding,henrygolding,0.9204205,True,ArcFace,1NN
HenryGoldingCrazyRichAsians.jpg,henrygolding,henrygolding,0.9462784,True,ArcFace,1NN
images - 2025-07-22T154439.359.jpeg,henrygolding,yangmi,0.8509416,False,ArcFace,1NN
download (9).jpeg,henrygolding,henrygolding,0.8453381,True,ArcFace,1NN
_103395645_warnerbros_cra-01079.jpg,henrygolding,henrygolding,0.88232243,True,ArcFace,1NN
Henry_Golding_at_the_2024_Toronto_International_Film_Festival_(Cropped).jpg,henrygolding,irrfankhan,0.8931918,False,ArcFace,1NN
download (11).jpeg,henrygolding,aaronaziz,0.8328164,False,ArcFace,1NN
images - 2025-07-22T154439.529.jpeg,henrygolding,henrygolding,0.8059003,True,ArcFace,1NN
images (59).jpeg,henrygolding,ronnychieng,0.8138013,False,ArcFace,1NN
images - 2025-07-22T154439.198.jpeg,henrygolding,henrygolding,0.9568336,True,ArcFace,1NN
images (94).jpeg,urassayasperbund,gongli,0.7912612,False,ArcFace,1NN
images - 2025-07-22T160915.784.jpeg,urassayasperbund,priyankachopra,0.81345904,False,ArcFace,1NN
cac-tap-phim-co-su-tham-gia-cua-urassaya-sperbund-thumbail.jpg,urassayasperbund,urassayasperbund,0.9304668,True,ArcFace,1NN
images - 2025-07-22T160915.516.jpeg,urassayasperbund,ronnychieng,0.7725412,False,ArcFace,1NN
images - 2025-07-22T160915.524.jpeg,urassayasperbund,priyankachopra,0.85173416,False,ArcFace,1NN
images (83).jpeg,urassayasperbund,gongli,0.75136006,False,ArcFace,1NN
images (82).jpeg,urassayasperbund,henrygolding,0.84845006,False,ArcFace,1NN
