image_path,true_celebrity,predicted_celebrity,confidence,correct,model,classifier
henry_golding2.jpg,henrygolding,irrfankhan,0.8286376,False,ArcFace,prototype
"1200px-Carmen_Roberts_and_Henry_Golding,_Presenters,_The_Travel_Show,_BBC_(cropped).jpg",henrygolding,henrygolding,0.7098943,True,ArcFace,prototype
images (14).jpeg,henrygolding,irrfankhan,0.89137995,False,ArcFace,prototype
images (94).jpeg,henrygolding,henrygolding,0.6255218,True,ArcFace,prototype
images - 2025-07-22T154439.130.jpeg,henrygolding,henrygolding,0.8794297,True,ArcFace,prototype
henrygolding.jpg,henrygolding,priyankachopra,0.75483763,False,ArcFace,prototype
download (5).jpeg,henrygolding,irrfankhan,0.9012084,False,ArcFace,prototype
images - 2025-07-22T154439.413.jpeg,henrygolding,henrygolding,0.8111932,True,ArcFace,prototype
images - 2025-07-22T154439.547.jpeg,henrygolding,irrfankhan,0.81991327,False,ArcFace,prototype
images - 2025-07-22T154439.383.jpeg,henrygolding,aaronaziz,0.81790626,False,ArcFace,prototype
download (18).jpeg,henrygolding,henrygolding,0.7837688,True,ArcFace,prototype
images - 2025-07-22T154439.072.jpeg,henrygolding,henrygolding,0.7899079,True,ArcFace,prototype
images - 2025-07-22T154439.226.jpeg,henrygolding,ronnychieng,0.82401025,False,ArcFace,prototype
rs_1200x1200-220309073150-1200-henry-golding-for-david-yurman-gj.jpg,henrygolding,irrfankhan,0.8621144,False,ArcFace,prototype
HenryGoldingCrazyRichAsians.jpg,henrygolding,henrygolding,0.8578803,True,ArcFace,prototype
images - 2025-07-22T154439.359.jpeg,henrygolding,aaronaziz,0.85805386,False,ArcFace,prototype
download (9).jpeg,henrygolding,gongli,0.8400669,False,ArcFace,prototype
_103395645_warnerbros_cra-01079.jpg,henrygolding,henrygolding,0.7915399,True,ArcFace,prototype
Henry_Golding_at_the_2024_Toronto_International_Film_Festival_(Cropped).jpg,henrygolding,irrfankhan,0.91177034,False,ArcFace,prototype
download (11).jpeg,henrygolding,ronnychieng,0.8694427,False,ArcFace,prototype
images - 2025-07-22T154439.529.jpeg,henrygolding,henrygolding,0.7981664,True,ArcFace,prototype
images (59).jpeg,henrygolding,gongli,0.827348,False,ArcFace,prototype
images - 2025-07-22T154439.198.jpeg,henrygolding,gongli,0.89397657,False,ArcFace,prototype
images (94).jpeg,urassayasperbund,urassayasperbund,0.7464497,True,ArcFace,prototype
images - 2025-07-22T160915.784.jpeg,urassayasperbund,urassayasperbund,0.8192312,True,ArcFace,prototype
cac-tap-phim-co-su-tham-gia-cua-urassaya-sperbund-thumbail.jpg,urassayasperbund,urassayasperbund,0.90801764,True,ArcFace,prototype
images - 2025-07-22T160915.516.jpeg,urassayasperbund,henrygolding,0.77294445,False,ArcFace,prototype
images - 2025-07-22T160915.524.jpeg,urassayasperbund,urassayasperbund,0.83913267,True,ArcFace,prototype
