image_path,true_celebrity,predicted_celebrity,confidence,correct,model,classifier
henry_golding2.jpg,henrygolding,ronnychieng,0.8524321,False,CosFace,1NN
"1200px-Carmen_Roberts_and_Henry_Golding,_Presenters,_The_Travel_Show,_BBC_(cropped).jpg",henrygolding,gongli,0.83537793,False,CosFace,1NN
images (14).jpeg,henrygolding,ronnychieng,0.881981,False,CosFace,1NN
images (94).jpeg,henrygolding,henrygolding,0.83003867,True,CosFace,1NN
images - 2025-07-22T154439.130.jpeg,henrygolding,aaronaziz,0.84756947,False,CosFace,1NN
henrygolding.jpg,henrygolding,henrygolding,0.9686957,True,CosFace,1NN
download (5).jpeg,henrygolding,henrygolding,0.8567219,True,CosFace,1NN
images - 2025-07-22T154439.413.jpeg,henrygolding,henrygolding,0.8392359,True,CosFace,1NN
images - 2025-07-22T154439.547.jpeg,henrygolding,aaronaziz,0.9612696,False,CosFace,1NN
images - 2025-07-22T154439.383.jpeg,henrygolding,ronnychieng,0.79078186,False,CosFace,1NN
download (18).jpeg,henrygolding,henrygolding,0.8996431,True,CosFace,1NN
images - 2025-07-22T154439.072.jpeg,henrygolding,henrygolding,0.89349663,True,CosFace,1NN
images - 2025-07-22T154439.226.jpeg,henrygolding,ronnychieng,0.87118614,False,CosFace,1NN
rs_1200x1200-220309073150-1200-henry-golding-for-david-yurman-gj.jpg,henrygolding,henrygolding,0.93813705,True,CosFace,1NN
HenryGoldingCrazyRichAsians.jpg,henrygolding,henrygolding,0.9471806,True,CosFace,1NN
images - 2025-07-22T154439.359.jpeg,henrygolding,ronnychieng,0.8436528,False,CosFace,1NN
download (9).jpeg,henrygolding,henrygolding,0.84412515,True,CosFace,1NN
_103395645_warnerbros_cra-01079.jpg,henrygolding,henrygolding,0.8857105,True,CosFace,1NN
Henry_Golding_at_the_2024_Toronto_International_Film_Festival_(Cropped).jpg,henrygolding,henrygolding,0.8495941,True,CosFace,1NN
download (11).jpeg,henrygolding,henrygolding,0.83420116,True,CosFace,1NN
images - 2025-07-22T154439.529.jpeg,henrygolding,henrygolding,0.8547853,True,CosFace,1NN
images (59).jpeg,henrygolding,henrygolding,0.83870465,True,CosFace,1NN
images - 2025-07-22T154439.198.jpeg,henrygolding,henrygolding,0.9362737,True,CosFace,1NN
images (94).jpeg,urassayasperbund,yangmi,0.7802299,False,CosFace,1NN
images - 2025-07-22T160915.784.jpeg,urassayasperbund,urassayasperbund,0.75808716,True,CosFace,1NN
cac-tap-phim-co-su-tham-gia-cua-urassaya-sperbund-thumbail.jpg,urassayasperbund,urassayasperbund,0.87939394,True,CosFace,1NN
images - 2025-07-22T160915.516.jpeg,urassayasperbund,ronnychieng,0.79683316,False,CosFace,1NN
images - 2025-07-22T160915.524.jpeg,urassayasperbund,gongli,0.8176614,False,CosFace,1NN
images (83).jpeg,urassayasperbund,urassayasperbund,0.7168608,True,CosFace,1NN
images (82).jpeg,urassayasperbund,yangmi,0.76589084,False,CosFace,1NN
images - 2025-07-22T160916.133.jpeg,urassayasperbund,urassayasperbund,0.90446484,True,CosFace,1NN
images - 2025-07-22T160915.486.jpeg,urassayasperbund,sitinurhaliza,0.7182655,False,CosFace,1NN
download (16).jpeg,urassayasperbund,priyankachopra,0.9163651,False,CosFace,1NN
download (21).jpeg,urassayasperbund,urassayasperbund,0.89788455,True,CosFace,1NN
images - 2025-07-22T160916.128.jpeg,urassayasperbund,irrfankhan,0.75264025,False,CosFace,1NN
download (14).jpeg,urassayasperbund,urassayasperbund,0.9858149,True,CosFace,1NN
images (26).jpeg,urassayasperbund,urassayasperbund,0.7975027,True,CosFace,1NN
download (26).jpeg,urassayasperbund,sitinurhaliza,0.8290124,False,CosFace,1NN
2849b192-75db-43b7-9e73-7bbc0697c5cd_11.jpeg,urassayasperbund,urassayasperbund,0.883751,True,CosFace,1NN
images - 2025-07-22T160915.845.jpeg,urassayasperbund,urassayasperbund,0.6821412,True,CosFace,1NN
urassaya-sperbund-d39bf871-90d2-4bc5-bfb2-c82f127de37-resize-750.jpeg,urassayasperbund,urassayasperbund,0.8730521,True,CosFace,1NN
