image_path,true_celebrity,predicted_celebrity,confidence,correct,model,classifier
henry_golding2.jpg,henrygolding,irrfankhan,0.8606597,False,CosFace,prototype
"1200px-Carmen_Roberts_and_Henry_Golding,_Presenters,_The_Travel_Show,_BBC_(cropped).jpg",henrygolding,henrygolding,0.8160682,True,CosFace,prototype
images (14).jpeg,henrygolding,ronnychieng,0.8861388,False,CosFace,prototype
images (94).jpeg,henrygolding,gongli,0.69527435,False,CosFace,prototype
images - 2025-07-22T154439.130.jpeg,henrygolding,henrygolding,0.8407576,True,CosFace,prototype
henrygolding.jpg,henrygolding,henrygolding,0.85344326,True,CosFace,prototype
download (5).jpeg,henrygolding,irrfankhan,0.8687822,False,CosFace,prototype
images - 2025-07-22T154439.413.jpeg,henrygolding,henrygolding,0.88474077,True,CosFace,prototype
images - 2025-07-22T154439.547.jpeg,henrygolding,priyankachopra,0.7268294,False,CosFace,prototype
images - 2025-07-22T154439.383.jpeg,henrygolding,henrygolding,0.7785984,True,CosFace,prototype
download (18).jpeg,henrygolding,henrygolding,0.84679186,True,CosFace,prototype
images - 2025-07-22T154439.072.jpeg,henrygolding,henrygolding,0.8240362,True,CosFace,prototype
images - 2025-07-22T154439.226.jpeg,henrygolding,ronnychieng,0.859151,False,CosFace,prototype
rs_1200x1200-220309073150-1200-henry-golding-for-david-yurman-gj.jpg,henrygolding,priyankachopra,0.8857143,False,CosFace,prototype
HenryGoldingCrazyRichAsians.jpg,henrygolding,henrygolding,0.8849011,True,CosFace,prototype
images - 2025-07-22T154439.359.jpeg,henrygolding,aaronaziz,0.831362,False,CosFace,prototype
download (9).jpeg,henrygolding,ronnychieng,0.87451553,False,CosFace,prototype
_103395645_warnerbros_cra-01079.jpg,henrygolding,priyankachopra,0.8160492,False,CosFace,prototype
Henry_Golding_at_the_2024_Toronto_International_Film_Festival_(Cropped).jpg,henrygolding,irrfankhan,0.85853934,False,CosFace,prototype
download (11).jpeg,henrygolding,henrygolding,0.8471795,True,CosFace,prototype
images - 2025-07-22T154439.529.jpeg,henrygolding,henrygolding,0.8985306,True,CosFace,prototype
images (59).jpeg,henrygolding,henrygolding,0.81678104,True,CosFace,prototype
images - 2025-07-22T154439.198.jpeg,henrygolding,henrygolding,0.82387435,True,CosFace,prototype
images (94).jpeg,urassayasperbund,urassayasperbund,0.7767991,True,CosFace,prototype
images - 2025-07-22T160915.784.jpeg,urassayasperbund,aaronaziz,0.760172,False,CosFace,prototype
cac-tap-phim-co-su-tham-gia-cua-urassaya-sperbund-thumbail.jpg,urassayasperbund,urassayasperbund,0.8693477,True,CosFace,prototype
images - 2025-07-22T160915.516.jpeg,urassayasperbund,henrygolding,0.78008616,False,CosFace,prototype
images - 2025-07-22T160915.524.jpeg,urassayasperbund,urassayasperbund,0.7783863,True,CosFace,prototype
images (83).jpeg,urassayasperbund,urassayasperbund,0.7307654,True,CosFace,prototype
images (82).jpeg,urassayasperbund,yangmi,0.7556267,False,CosFace,prototype
images - 2025-07-22T160916.133.jpeg,urassayasperbund,priyankachopra,0.8951519,False,CosFace,prototype
images - 2025-07-22T160915.486.jpeg,urassayasperbund,sitinurhaliza,0.6867676,False,CosFace,prototype
download (16).jpeg,urassayasperbund,yangmi,0.89341784,False,CosFace,prototype
download (21).jpeg,urassayasperbund,gongli,0.6582966,False,CosFace,prototype
images - 2025-07-22T160916.128.jpeg,urassayasperbund,gongli,0.7813141,False,CosFace,prototype
download (14).jpeg,urassayasperbund,priyankachopra,0.8733239,False,CosFace,prototype
images (26).jpeg,urassayasperbund,urassayasperbund,0.7732433,True,CosFace,prototype
download (26).jpeg,urassayasperbund,yangmi,0.84297526,False,CosFace,prototype
2849b192-75db-43b7-9e73-7bbc0697c5cd_11.jpeg,urassayasperbund,sitinurhaliza,0.5749457,False,CosFace,prototype
images - 2025-07-22T160915.845.jpeg,urassayasperbund,urassayasperbund,0.6612302,True,CosFace,prototype
urassaya-sperbund-d39bf871-90d2-4bc5-bfb2-c82f127de37-resize-750.jpeg,urassayasperbund,urassayasperbund,0.8109325,True,CosFace,prototype
urassaya-sperbund-attends-the-louis-vuitton-fallwinter-2023-2024-ready-to-wear-collection-presented-monday-march-6-2023-in-paris-vianney-le-caerinvisionap-2P51JY8.jpg,urassayasperbund,henrygolding,0.8578918,False,CosFace,prototype
images - 2025-07-22T155411.111.jpeg,gongli,yangmi,0.66635025,False,CosFace,prototype
images - 2025-07-22T155411.098.jpeg,gongli,gongli,0.7924795,True,CosFace,prototype
images (27).jpeg,gongli,gongli,0.5510067,True,CosFace,prototype
GONG-LI_Head-of-Jury-for-the-55th-GHA-e1531859364238.jpg,gongli,gongli,0.8715348,True,CosFace,prototype
images - 2025-07-22T155411.125.jpeg,gongli,priyankachopra,0.87107027,False,CosFace,prototype
images - 2025-07-22T155411.288.jpeg,gongli,priyankachopra,0.8844962,False,CosFace,prototype
hq720.jpg,gongli,yangmi,0.897234,False,CosFace,prototype
images - 2025-07-22T155411.116.jpeg,gongli,priyankachopra,0.8260133,False,CosFace,prototype
images - 2025-07-22T155411.131.jpeg,gongli,gongli,0.8733107,True,CosFace,prototype
download (7).jpeg,gongli,gongli,0.8923037,True,CosFace,prototype
250px-Gong_Li_Cannes_2011.jpg,gongli,gongli,0.88063,True,CosFace,prototype
images (6).jpeg,gongli,gongli,0.8416951,True,CosFace,prototype
download (11).jpeg,gongli,gongli,0.73725224,True,CosFace,prototype
images (37).jpeg,gongli,henrygolding,0.86549217,False,CosFace,prototype
001ec9790963150dec6d00.jpg,gongli,gongli,0.65889215,True,CosFace,prototype
images - 2025-07-22T155411.369.jpeg,gongli,priyankachopra,0.8778553,False,CosFace,prototype
images (20).jpeg,ronnychieng,ronnychieng,0.87823045,True,CosFace,prototype
images - 2025-07-22T154841.136.jpeg,ronnychieng,irrfankhan,0.8650775,False,CosFace,prototype
images (7).jpeg,ronnychieng,henrygolding,0.8445741,False,CosFace,prototype
images (43).jpeg,ronnychieng,henrygolding,0.8677766,False,CosFace,prototype
ronny-chieng-martial-arts-comedy-film-project-696x442.jpg,ronnychieng,henrygolding,0.7288738,False,CosFace,prototype
images - 2025-07-22T154841.130.jpeg,ronnychieng,gongli,0.7866312,False,CosFace,prototype
images (38).jpeg,ronnychieng,henrygolding,0.8116195,False,CosFace,prototype
images (15).jpeg,ronnychieng,henrygolding,0.86102414,False,CosFace,prototype
download (5).jpeg,ronnychieng,ronnychieng,0.6911408,True,CosFace,prototype
images - 2025-07-22T154841.440.jpeg,ronnychieng,ronnychieng,0.71445054,True,CosFace,prototype
images (96).jpeg,ronnychieng,ronnychieng,0.88320804,True,CosFace,prototype
Ronny-Chieng-1.jpg,ronnychieng,ronnychieng,0.50814533,True,CosFace,prototype
maxresdefault (1).jpg,ronnychieng,ronnychieng,0.88410795,True,CosFace,prototype
images (70).jpeg,ronnychieng,ronnychieng,0.8371693,True,CosFace,prototype
download (9).jpeg,ronnychieng,ronnychieng,0.8651208,True,CosFace,prototype
images (89).jpeg,ronnychieng,ronnychieng,0.88822,True,CosFace,prototype
images - 2025-07-22T154841.120.jpeg,ronnychieng,ronnychieng,0.8569811,True,CosFace,prototype
images - 2025-07-22T154841.350.jpeg,ronnychieng,henrygolding,0.8287382,False,CosFace,prototype
images - 2025-07-22T165147.336.jpeg,yangmi,yangmi,0.8208239,True,CosFace,prototype
images - 2025-07-22T165147.948.jpeg,yangmi,yangmi,0.81726116,True,CosFace,prototype
download (6).jpeg,yangmi,gongli,0.81230104,False,CosFace,prototype
images - 2025-07-22T165147.444.jpeg,yangmi,yangmi,0.85551226,True,CosFace,prototype
images (87).jpeg,yangmi,yangmi,0.87806547,True,CosFace,prototype
download (10).jpeg,yangmi,yangmi,0.8572803,True,CosFace,prototype
download (22).jpeg,yangmi,gongli,0.66092265,False,CosFace,prototype
images - 2025-07-22T165147.029.jpeg,yangmi,yangmi,0.8026542,True,CosFace,prototype
images (33).jpeg,yangmi,yangmi,0.84865606,True,CosFace,prototype
images - 2025-07-22T165147.932.jpeg,yangmi,yangmi,0.84134084,True,CosFace,prototype
images - 2025-07-22T165147.196.jpeg,yangmi,sitinurhaliza,0.6504749,False,CosFace,prototype
images - 2025-07-22T165147.907.jpeg,yangmi,gongli,0.7683409,False,CosFace,prototype
images - 2025-07-22T165147.146.jpeg,yangmi,urassayasperbund,0.7682715,False,CosFace,prototype
images - 2025-07-22T165147.060.jpeg,yangmi,priyankachopra,0.8291366,False,CosFace,prototype
images - 2025-07-22T165147.239.jpeg,yangmi,gongli,0.6715077,False,CosFace,prototype
images - 2025-07-22T165147.911.jpeg,yangmi,priyankachopra,0.8793651,False,CosFace,prototype
images - 2025-07-22T165147.205.jpeg,yangmi,priyankachopra,0.8419218,False,CosFace,prototype
images - 2025-07-22T165147.145.jpeg,yangmi,urassayasperbund,0.77886343,False,CosFace,prototype
download (9).jpeg,yangmi,yangmi,0.884307,True,CosFace,prototype
09ca4912922019f7ac585b75c65fa134.jpg,yangmi,yangmi,0.7913674,True,CosFace,prototype
download (20).jpeg,yangmi,sitinurhaliza,0.59032774,False,CosFace,prototype
images (2).jpeg,yangmi,yangmi,0.86384004,True,CosFace,prototype
images - 2025-07-22T165146.881.jpeg,yangmi,henrygolding,0.8767826,False,CosFace,prototype
images (93).jpeg,yangmi,gongli,0.7012761,False,CosFace,prototype
images (60).jpeg,yangmi,gongli,0.82844573,False,CosFace,prototype
