image_path,true_celebrity,predicted_celebrity,confidence,correct,model,classifier
henry_golding2.jpg,henrygolding,irrfankhan,0.8127876,False,CurricularFace,1NN
"1200px-Carmen_Roberts_and_Henry_Golding,_Presenters,_The_Travel_Show,_BBC_(cropped).jpg",henrygolding,gongli,0.85374427,False,CurricularFace,1NN
images (14).jpeg,henrygolding,ronnychieng,0.8175536,False,CurricularFace,1NN
images (94).jpeg,henrygolding,aaronaziz,0.72517854,False,CurricularFace,1NN
images - 2025-07-22T154439.130.jpeg,henrygolding,priyankachopra,0.74407226,False,CurricularFace,1NN
henrygolding.jpg,henrygolding,henrygolding,0.9775441,True,CurricularFace,1NN
download (5).jpeg,henrygolding,henrygolding,0.7968296,True,CurricularFace,1NN
images - 2025-07-22T154439.413.jpeg,henrygolding,henrygolding,0.82261765,True,CurricularFace,1NN
images - 2025-07-22T154439.547.jpeg,henrygolding,aaronaziz,0.8256196,False,CurricularFace,1NN
images - 2025-07-22T154439.383.jpeg,henrygolding,henrygolding,0.75923514,True,CurricularFace,1NN
download (18).jpeg,henrygolding,henrygolding,0.85734814,True,CurricularFace,1NN
images - 2025-07-22T154439.072.jpeg,henrygolding,henrygolding,0.89221597,True,CurricularFace,1NN
images - 2025-07-22T154439.226.jpeg,henrygolding,ronnychieng,0.75140023,False,CurricularFace,1NN
rs_1200x1200-220309073150-1200-henry-golding-for-david-yurman-gj.jpg,henrygolding,henrygolding,0.8640884,True,CurricularFace,1NN
HenryGoldingCrazyRichAsians.jpg,henrygolding,henrygolding,0.86460084,True,CurricularFace,1NN
images - 2025-07-22T154439.359.jpeg,henrygolding,henrygolding,0.84125173,True,CurricularFace,1NN
download (9).jpeg,henrygolding,henrygolding,0.8643278,True,CurricularFace,1NN
_103395645_warnerbros_cra-01079.jpg,henrygolding,henrygolding,0.7747016,True,CurricularFace,1NN
Henry_Golding_at_the_2024_Toronto_International_Film_Festival_(Cropped).jpg,henrygolding,henrygolding,0.7729565,True,CurricularFace,1NN
download (11).jpeg,henrygolding,ronnychieng,0.804616,False,CurricularFace,1NN
images - 2025-07-22T154439.529.jpeg,henrygolding,henrygolding,0.8464644,True,CurricularFace,1NN
images (59).jpeg,henrygolding,henrygolding,0.8912115,True,CurricularFace,1NN
images - 2025-07-22T154439.198.jpeg,henrygolding,henrygolding,0.91548586,True,CurricularFace,1NN
images (94).jpeg,urassayasperbund,yangmi,0.82251495,False,CurricularFace,1NN
images - 2025-07-22T160915.784.jpeg,urassayasperbund,priyankachopra,0.7512526,False,CurricularFace,1NN
cac-tap-phim-co-su-tham-gia-cua-urassaya-sperbund-thumbail.jpg,urassayasperbund,urassayasperbund,0.8108724,True,CurricularFace,1NN
images - 2025-07-22T160915.516.jpeg,urassayasperbund,priyankachopra,0.6571495,False,CurricularFace,1NN
images - 2025-07-22T160915.524.jpeg,urassayasperbund,urassayasperbund,0.79015315,True,CurricularFace,1NN
images (83).jpeg,urassayasperbund,gongli,0.710882,False,CurricularFace,1NN
images (82).jpeg,urassayasperbund,urassayasperbund,0.73973167,True,CurricularFace,1NN
images - 2025-07-22T160916.133.jpeg,urassayasperbund,priyankachopra,0.8712933,False,CurricularFace,1NN
images - 2025-07-22T160915.486.jpeg,urassayasperbund,yangmi,0.7155087,False,CurricularFace,1NN
download (16).jpeg,urassayasperbund,urassayasperbund,0.90191823,True,CurricularFace,1NN
download (21).jpeg,urassayasperbund,urassayasperbund,0.9113469,True,CurricularFace,1NN
images - 2025-07-22T160916.128.jpeg,urassayasperbund,yangmi,0.7665373,False,CurricularFace,1NN
download (14).jpeg,urassayasperbund,urassayasperbund,0.9525895,True,CurricularFace,1NN
images (26).jpeg,urassayasperbund,urassayasperbund,0.6949026,True,CurricularFace,1NN
download (26).jpeg,urassayasperbund,yangmi,0.79496217,False,CurricularFace,1NN
2849b192-75db-43b7-9e73-7bbc0697c5cd_11.jpeg,urassayasperbund,urassayasperbund,0.8458578,True,CurricularFace,1NN
images - 2025-07-22T160915.845.jpeg,urassayasperbund,urassayasperbund,0.74719656,True,CurricularFace,1NN
urassaya-sperbund-d39bf871-90d2-4bc5-bfb2-c82f127de37-resize-750.jpeg,urassayasperbund,urassayasperbund,0.80747056,True,CurricularFace,1NN
urassaya-sperbund-attends-the-louis-vuitton-fallwinter-2023-2024-ready-to-wear-collection-presented-monday-march-6-2023-in-paris-vianney-le-caerinvisionap-2P51JY8.jpg,urassayasperbund,urassayasperbund,0.97372776,True,CurricularFace,1NN
images - 2025-07-22T155411.111.jpeg,gongli,sitinurhaliza,0.6804111,False,CurricularFace,1NN
