image_path,true_celebrity,predicted_celebrity,confidence,correct,model,classifier
henry_golding2.jpg,henrygolding,irrfankhan,0.872285,False,CurricularFace,prototype
"1200px-Carmen_Roberts_and_Henry_Golding,_Presenters,_The_Travel_Show,_BBC_(cropped).jpg",henrygolding,henrygolding,0.8336235,True,CurricularFace,prototype
images (14).jpeg,henrygolding,irrfankhan,0.7935705,False,CurricularFace,prototype
images (94).jpeg,henrygolding,gongli,0.6882043,False,CurricularFace,prototype
images - 2025-07-22T154439.130.jpeg,henrygolding,henrygolding,0.7218956,True,CurricularFace,prototype
henrygolding.jpg,henrygolding,henrygolding,0.754094,True,CurricularFace,prototype
download (5).jpeg,henrygolding,irrfankhan,0.8291198,False,CurricularFace,prototype
images - 2025-07-22T154439.413.jpeg,henrygolding,henrygolding,0.820626,True,CurricularFace,prototype
images - 2025-07-22T154439.547.jpeg,henrygolding,irrfankhan,0.5550568,False,CurricularFace,prototype
images - 2025-07-22T154439.383.jpeg,henrygolding,ronnychieng,0.7604897,False,CurricularFace,prototype
download (18).jpeg,henrygolding,henrygolding,0.86181164,True,CurricularFace,prototype
images - 2025-07-22T154439.072.jpeg,henrygolding,henrygolding,0.86242294,True,CurricularFace,prototype
images - 2025-07-22T154439.226.jpeg,henrygolding,henrygolding,0.72525203,True,CurricularFace,prototype
rs_1200x1200-220309073150-1200-henry-golding-for-david-yurman-gj.jpg,henrygolding,priyankachopra,0.62470484,False,CurricularFace,prototype
HenryGoldingCrazyRichAsians.jpg,henrygolding,henrygolding,0.85765916,True,CurricularFace,prototype
images - 2025-07-22T154439.359.jpeg,henrygolding,henrygolding,0.8763896,True,CurricularFace,prototype
download (9).jpeg,henrygolding,henrygolding,0.8460608,True,CurricularFace,prototype
_103395645_warnerbros_cra-01079.jpg,henrygolding,irrfankhan,0.6053177,False,CurricularFace,prototype
Henry_Golding_at_the_2024_Toronto_International_Film_Festival_(Cropped).jpg,henrygolding,irrfankhan,0.80074704,False,CurricularFace,prototype
download (11).jpeg,henrygolding,ronnychieng,0.7635602,False,CurricularFace,prototype
images - 2025-07-22T154439.529.jpeg,henrygolding,henrygolding,0.87276345,True,CurricularFace,prototype
images (59).jpeg,henrygolding,henrygolding,0.86212486,True,CurricularFace,prototype
images - 2025-07-22T154439.198.jpeg,henrygolding,gongli,0.8260157,False,CurricularFace,prototype
images (94).jpeg,urassayasperbund,urassayasperbund,0.84190345,True,CurricularFace,prototype
images - 2025-07-22T160915.784.jpeg,urassayasperbund,priyankachopra,0.7199384,False,CurricularFace,prototype
cac-tap-phim-co-su-tham-gia-cua-urassaya-sperbund-thumbail.jpg,urassayasperbund,urassayasperbund,0.82521564,True,CurricularFace,prototype
images - 2025-07-22T160915.516.jpeg,urassayasperbund,henrygolding,0.6415945,False,CurricularFace,prototype
images - 2025-07-22T160915.524.jpeg,urassayasperbund,urassayasperbund,0.7748573,True,CurricularFace,prototype
images (83).jpeg,urassayasperbund,urassayasperbund,0.6144855,True,CurricularFace,prototype
images (82).jpeg,urassayasperbund,urassayasperbund,0.6822585,True,CurricularFace,prototype
images - 2025-07-22T160916.133.jpeg,urassayasperbund,priyankachopra,0.8420125,False,CurricularFace,prototype
images - 2025-07-22T160915.486.jpeg,urassayasperbund,sitinurhaliza,0.685313,False,CurricularFace,prototype
download (16).jpeg,urassayasperbund,urassayasperbund,0.8744816,True,CurricularFace,prototype
download (21).jpeg,urassayasperbund,gongli,0.7764721,False,CurricularFace,prototype
images - 2025-07-22T160916.128.jpeg,urassayasperbund,urassayasperbund,0.7880428,True,CurricularFace,prototype
download (14).jpeg,urassayasperbund,priyankachopra,0.81911993,False,CurricularFace,prototype
images (26).jpeg,urassayasperbund,sitinurhaliza,0.6414453,False,CurricularFace,prototype
download (26).jpeg,urassayasperbund,yangmi,0.80283713,False,CurricularFace,prototype
2849b192-75db-43b7-9e73-7bbc0697c5cd_11.jpeg,urassayasperbund,sitinurhaliza,0.640955,False,CurricularFace,prototype
images - 2025-07-22T160915.845.jpeg,urassayasperbund,urassayasperbund,0.7236053,True,CurricularFace,prototype
urassaya-sperbund-d39bf871-90d2-4bc5-bfb2-c82f127de37-resize-750.jpeg,urassayasperbund,urassayasperbund,0.7392113,True,CurricularFace,prototype
urassaya-sperbund-attends-the-louis-vuitton-fallwinter-2023-2024-ready-to-wear-collection-presented-monday-march-6-2023-in-paris-vianney-le-caerinvisionap-2P51JY8.jpg,urassayasperbund,gongli,0.8398116,False,CurricularFace,prototype
images - 2025-07-22T155411.111.jpeg,gongli,yangmi,0.60720164,False,CurricularFace,prototype
images - 2025-07-22T155411.098.jpeg,gongli,yangmi,0.7689162,False,CurricularFace,prototype
images (27).jpeg,gongli,gongli,0.59702504,True,CurricularFace,prototype
GONG-LI_Head-of-Jury-for-the-55th-GHA-e1531859364238.jpg,gongli,gongli,0.8702078,True,CurricularFace,prototype
images - 2025-07-22T155411.125.jpeg,gongli,yangmi,0.8107467,False,CurricularFace,prototype
images - 2025-07-22T155411.288.jpeg,gongli,yangmi,0.83105075,False,CurricularFace,prototype
hq720.jpg,gongli,henrygolding,0.8745184,False,CurricularFace,prototype
images - 2025-07-22T155411.116.jpeg,gongli,priyankachopra,0.75690234,False,CurricularFace,prototype
images - 2025-07-22T155411.131.jpeg,gongli,gongli,0.8416511,True,CurricularFace,prototype
download (7).jpeg,gongli,henrygolding,0.91057575,False,CurricularFace,prototype
250px-Gong_Li_Cannes_2011.jpg,gongli,gongli,0.83691263,True,CurricularFace,prototype
images (6).jpeg,gongli,gongli,0.78034073,True,CurricularFace,prototype
download (11).jpeg,gongli,gongli,0.7267566,True,CurricularFace,prototype
images (37).jpeg,gongli,henrygolding,0.82173455,False,CurricularFace,prototype
001ec9790963150dec6d00.jpg,gongli,gongli,0.726655,True,CurricularFace,prototype
images - 2025-07-22T155411.369.jpeg,gongli,priyankachopra,0.8415723,False,CurricularFace,prototype
images (20).jpeg,ronnychieng,ronnychieng,0.7293242,True,CurricularFace,prototype
images - 2025-07-22T154841.136.jpeg,ronnychieng,irrfankhan,0.7711838,False,CurricularFace,prototype
images (7).jpeg,ronnychieng,ronnychieng,0.8066822,True,CurricularFace,prototype
images (43).jpeg,ronnychieng,aaronaziz,0.82107466,False,CurricularFace,prototype
ronny-chieng-martial-arts-comedy-film-project-696x442.jpg,ronnychieng,ronnychieng,0.76150376,True,CurricularFace,prototype
images - 2025-07-22T154841.130.jpeg,ronnychieng,ronnychieng,0.64983106,True,CurricularFace,prototype
images (38).jpeg,ronnychieng,henrygolding,0.8032049,False,CurricularFace,prototype
images (15).jpeg,ronnychieng,henrygolding,0.77193743,False,CurricularFace,prototype
download (5).jpeg,ronnychieng,ronnychieng,0.76432407,True,CurricularFace,prototype
images - 2025-07-22T154841.440.jpeg,ronnychieng,ronnychieng,0.73944974,True,CurricularFace,prototype
images (96).jpeg,ronnychieng,ronnychieng,0.8741859,True,CurricularFace,prototype
Ronny-Chieng-1.jpg,ronnychieng,ronnychieng,0.5525278,True,CurricularFace,prototype
maxresdefault (1).jpg,ronnychieng,ronnychieng,0.8359732,True,CurricularFace,prototype
images (70).jpeg,ronnychieng,ronnychieng,0.83298206,True,CurricularFace,prototype
download (9).jpeg,ronnychieng,ronnychieng,0.81085277,True,CurricularFace,prototype
images (89).jpeg,ronnychieng,aaronaziz,0.7762877,False,CurricularFace,prototype
images - 2025-07-22T154841.120.jpeg,ronnychieng,ronnychieng,0.82968664,True,CurricularFace,prototype
images - 2025-07-22T154841.350.jpeg,ronnychieng,ronnychieng,0.81743157,True,CurricularFace,prototype
images - 2025-07-22T165147.336.jpeg,yangmi,yangmi,0.78797036,True,CurricularFace,prototype
images - 2025-07-22T165147.948.jpeg,yangmi,yangmi,0.80121624,True,CurricularFace,prototype
download (6).jpeg,yangmi,gongli,0.8257952,False,CurricularFace,prototype
images - 2025-07-22T165147.444.jpeg,yangmi,yangmi,0.8682368,True,CurricularFace,prototype
images (87).jpeg,yangmi,priyankachopra,0.7745122,False,CurricularFace,prototype
download (10).jpeg,yangmi,yangmi,0.83563995,True,CurricularFace,prototype
download (22).jpeg,yangmi,urassayasperbund,0.7074704,False,CurricularFace,prototype
images - 2025-07-22T165147.029.jpeg,yangmi,yangmi,0.72865176,True,CurricularFace,prototype
images (33).jpeg,yangmi,yangmi,0.8014113,True,CurricularFace,prototype
images - 2025-07-22T165147.932.jpeg,yangmi,yangmi,0.775591,True,CurricularFace,prototype
images - 2025-07-22T165147.196.jpeg,yangmi,urassayasperbund,0.64182436,False,CurricularFace,prototype
images - 2025-07-22T165147.907.jpeg,yangmi,yangmi,0.7009639,True,CurricularFace,prototype
images - 2025-07-22T165147.146.jpeg,yangmi,urassayasperbund,0.81801784,False,CurricularFace,prototype
images - 2025-07-22T165147.060.jpeg,yangmi,priyankachopra,0.71934325,False,CurricularFace,prototype
images - 2025-07-22T165147.239.jpeg,yangmi,gongli,0.7598374,False,CurricularFace,prototype
images - 2025-07-22T165147.911.jpeg,yangmi,priyankachopra,0.7953888,False,CurricularFace,prototype
images - 2025-07-22T165147.205.jpeg,yangmi,yangmi,0.7703571,True,CurricularFace,prototype
images - 2025-07-22T165147.145.jpeg,yangmi,gongli,0.80347586,False,CurricularFace,prototype
download (9).jpeg,yangmi,yangmi,0.766113,True,CurricularFace,prototype
09ca4912922019f7ac585b75c65fa134.jpg,yangmi,sitinurhaliza,0.61333096,False,CurricularFace,prototype
download (20).jpeg,yangmi,sitinurhaliza,0.6974739,False,CurricularFace,prototype
images (2).jpeg,yangmi,yangmi,0.81180286,True,CurricularFace,prototype
images - 2025-07-22T165146.881.jpeg,yangmi,henrygolding,0.8407515,False,CurricularFace,prototype
images (93).jpeg,yangmi,gongli,0.7286744,False,CurricularFace,prototype
images (60).jpeg,yangmi,gongli,0.775171,False,CurricularFace,prototype
images - 2025-07-22T165146.930.jpeg,yangmi,yangmi,0.81177723,True,CurricularFace,prototype
images - 2025-07-22T160126.925.jpeg,irrfankhan,gongli,0.81689346,False,CurricularFace,prototype
images - 2025-07-22T160126.586.jpeg,irrfankhan,irrfankhan,0.7553351,True,CurricularFace,prototype
images - 2025-07-22T160126.815.jpeg,irrfankhan,ronnychieng,0.7435831,False,CurricularFace,prototype
images - 2025-07-22T160126.892.jpeg,irrfankhan,irrfankhan,0.6854921,True,CurricularFace,prototype
Irrfan-Khan-1-2024-04-c1507bcf500dd70d642d0b363464406b.jpg,irrfankhan,aaronaziz,0.75861317,False,CurricularFace,prototype
download (22).jpeg,irrfankhan,irrfankhan,0.7471996,True,CurricularFace,prototype
images - 2025-07-22T160127.114.jpeg,irrfankhan,irrfankhan,0.7872629,True,CurricularFace,prototype
images - 2025-07-22T160126.752.jpeg,irrfankhan,irrfankhan,0.74583507,True,CurricularFace,prototype
maxresdefault.jpg,irrfankhan,irrfankhan,0.7792398,True,CurricularFace,prototype
irrfan-khan-dead.jpg,irrfankhan,ronnychieng,0.79237354,False,CurricularFace,prototype
images - 2025-07-22T160126.988.jpeg,irrfankhan,irrfankhan,0.8263728,True,CurricularFace,prototype
d1d32f46d80205a1a504580779c886bc.jpg,irrfankhan,henrygolding,0.8256688,False,CurricularFace,prototype
images - 2025-07-22T160126.917.jpeg,irrfankhan,gongli,0.7825716,False,CurricularFace,prototype
images (1).jpeg,irrfankhan,irrfankhan,0.8455708,True,CurricularFace,prototype
irrfan-khan_640x480_81495104135.jpg,irrfankhan,henrygolding,0.7792858,False,CurricularFace,prototype
images - 2025-07-22T160126.921.jpeg,irrfankhan,irrfankhan,0.81748116,True,CurricularFace,prototype
images (24).jpeg,irrfankhan,irrfankhan,0.70309854,True,CurricularFace,prototype
images - 2025-07-22T160126.916.jpeg,irrfankhan,irrfankhan,0.7699398,True,CurricularFace,prototype
Irrfan_Khan_May_2015_(cropped).jpg,irrfankhan,irrfankhan,0.85488516,True,CurricularFace,prototype
images - 2025-07-22T160126.816.jpeg,irrfankhan,henrygolding,0.83275086,False,CurricularFace,prototype
images (75).jpeg,irrfankhan,ronnychieng,0.8439178,False,CurricularFace,prototype
images - 2025-07-22T160420.760.jpeg,priyankachopra,urassayasperbund,0.8640859,False,CurricularFace,prototype
images - 2025-07-22T160420.982.jpeg,priyankachopra,priyankachopra,0.918424,True,CurricularFace,prototype
images (47).jpeg,priyankachopra,priyankachopra,0.8388854,True,CurricularFace,prototype
download (6).jpeg,priyankachopra,priyankachopra,0.83946633,True,CurricularFace,prototype
images - 2025-07-22T160420.629.jpeg,priyankachopra,priyankachopra,0.85351616,True,CurricularFace,prototype
images (3).jpeg,priyankachopra,priyankachopra,0.7528348,True,CurricularFace,prototype
images (85).jpeg,priyankachopra,priyankachopra,0.87363636,True,CurricularFace,prototype
images - 2025-07-22T160420.370.jpeg,priyankachopra,priyankachopra,0.8478054,True,CurricularFace,prototype
dd259ba8-c64c-11ea-86df-6d561651b5f4_image_hires_182236.jpg,priyankachopra,priyankachopra,0.8815439,True,CurricularFace,prototype
images (15).jpeg,priyankachopra,priyankachopra,0.67621505,True,CurricularFace,prototype
images (82).jpeg,priyankachopra,priyankachopra,0.771832,True,CurricularFace,prototype
download (17).jpeg,priyankachopra,priyankachopra,0.8859283,True,CurricularFace,prototype
images - 2025-07-22T160420.614.jpeg,priyankachopra,priyankachopra,0.86012775,True,CurricularFace,prototype
download (16).jpeg,priyankachopra,priyankachopra,0.90313905,True,CurricularFace,prototype
