image_path,true_celebrity,predicted_celebrity,confidence,correct,model,classifier
henry_golding2.jpg,henrygolding,aaronaziz,0.7782945,False,MagFace,1NN
"1200px-Carmen_Roberts_and_Henry_Golding,_Presenters,_The_Travel_Show,_BBC_(cropped).jpg",henrygolding,urassayasperbund,0.68270314,False,MagFace,1NN
images (14).jpeg,henrygolding,ronnychieng,0.87875843,False,MagFace,1NN
images (94).jpeg,henrygolding,yangmi,0.5766436,False,MagFace,1NN
images - 2025-07-22T154439.130.jpeg,henrygolding,ronnychieng,0.7859635,False,MagFace,1NN
henrygolding.jpg,henrygolding,henrygolding,0.93713236,True,MagFace,1NN
download (5).jpeg,henrygolding,henrygolding,0.86801374,True,MagFace,1NN
images - 2025-07-22T154439.413.jpeg,henrygolding,gongli,0.7257867,False,MagFace,1NN
images - 2025-07-22T154439.547.jpeg,henrygolding,ronnychieng,0.84011686,False,MagFace,1NN
images - 2025-07-22T154439.383.jpeg,henrygolding,ronnychieng,0.7327366,False,MagFace,1NN
download (18).jpeg,henrygolding,henrygolding,0.7894518,True,MagFace,1NN
images - 2025-07-22T154439.072.jpeg,henrygolding,henrygolding,0.84991825,True,MagFace,1NN
images - 2025-07-22T154439.226.jpeg,henrygolding,henrygolding,0.7152406,True,MagFace,1NN
rs_1200x1200-220309073150-1200-henry-golding-for-david-yurman-gj.jpg,henrygolding,irrfankhan,0.82710624,False,MagFace,1NN
HenryGoldingCrazyRichAsians.jpg,henrygolding,henrygolding,0.85556597,True,MagFace,1NN
images - 2025-07-22T154439.359.jpeg,henrygolding,ronnychieng,0.83410776,False,MagFace,1NN
download (9).jpeg,henrygolding,sitinurhaliza,0.7144991,False,MagFace,1NN
_103395645_warnerbros_cra-01079.jpg,henrygolding,irrfankhan,0.7503835,False,MagFace,1NN
Henry_Golding_at_the_2024_Toronto_International_Film_Festival_(Cropped).jpg,henrygolding,henrygolding,0.8752838,True,MagFace,1NN
download (11).jpeg,henrygolding,ronnychieng,0.77322495,False,MagFace,1NN
images - 2025-07-22T154439.529.jpeg,henrygolding,henrygolding,0.731155,True,MagFace,1NN
images (59).jpeg,henrygolding,henrygolding,0.7403891,True,MagFace,1NN
images - 2025-07-22T154439.198.jpeg,henrygolding,henrygolding,0.86113966,True,MagFace,1NN
images (94).jpeg,urassayasperbund,urassayasperbund,0.8069252,True,MagFace,1NN
images - 2025-07-22T160915.784.jpeg,urassayasperbund,urassayasperbund,0.8097024,True,MagFace,1NN
cac-tap-phim-co-su-tham-gia-cua-urassaya-sperbund-thumbail.jpg,urassayasperbund,urassayasperbund,0.80492973,True,MagFace,1NN
images - 2025-07-22T160915.516.jpeg,urassayasperbund,priyankachopra,0.80561113,False,MagFace,1NN
images - 2025-07-22T160915.524.jpeg,urassayasperbund,yangmi,0.68674123,False,MagFace,1NN
