image_path,true_celebrity,predicted_celebrity,confidence,correct,model,classifier
henry_golding2.jpg,henrygolding,henrygolding,0.82548845,True,SphereFace,1NN
"1200px-Carmen_Roberts_and_Henry_Golding,_Presenters,_The_Travel_Show,_BBC_(cropped).jpg",henrygolding,gongli,0.83192486,False,SphereFace,1NN
images (14).jpeg,henrygolding,henrygolding,0.8830604,True,SphereFace,1NN
images (94).jpeg,henrygolding,henrygolding,0.8169751,True,SphereFace,1NN
images - 2025-07-22T154439.130.jpeg,henrygolding,aaronaziz,0.8530407,False,SphereFace,1NN
henrygolding.jpg,henrygolding,henrygolding,0.9741324,True,SphereFace,1NN
download (5).jpeg,henrygolding,henrygolding,0.8693358,True,SphereFace,1NN
images - 2025-07-22T154439.413.jpeg,henrygolding,gongli,0.8022979,False,SphereFace,1NN
images - 2025-07-22T154439.547.jpeg,henrygolding,aaronaziz,0.8772222,False,SphereFace,1NN
images - 2025-07-22T154439.383.jpeg,henrygolding,ronnychieng,0.82331675,False,SphereFace,1NN
download (18).jpeg,henrygolding,henrygolding,0.87270194,True,SphereFace,1NN
images - 2025-07-22T154439.072.jpeg,henrygolding,henrygolding,0.90097594,True,SphereFace,1NN
images - 2025-07-22T154439.226.jpeg,henrygolding,ronnychieng,0.8011441,False,SphereFace,1NN
rs_1200x1200-220309073150-1200-henry-golding-for-david-yurman-gj.jpg,henrygolding,henrygolding,0.8661269,True,SphereFace,1NN
HenryGoldingCrazyRichAsians.jpg,henrygolding,henrygolding,0.9113591,True,SphereFace,1NN
images - 2025-07-22T154439.359.jpeg,henrygolding,henrygolding,0.8770031,True,SphereFace,1NN
download (9).jpeg,henrygolding,henrygolding,0.80179507,True,SphereFace,1NN
_103395645_warnerbros_cra-01079.jpg,henrygolding,gongli,0.8375113,False,SphereFace,1NN
Henry_Golding_at_the_2024_Toronto_International_Film_Festival_(Cropped).jpg,henrygolding,henrygolding,0.86667347,True,SphereFace,1NN
download (11).jpeg,henrygolding,yangmi,0.81693834,False,SphereFace,1NN
images - 2025-07-22T154439.529.jpeg,henrygolding,ronnychieng,0.7739378,False,SphereFace,1NN
images (59).jpeg,henrygolding,sitinurhaliza,0.8599956,False,SphereFace,1NN
images - 2025-07-22T154439.198.jpeg,henrygolding,henrygolding,0.9301497,True,SphereFace,1NN
images (94).jpeg,urassayasperbund,aaronaziz,0.795805,False,SphereFace,1NN
images - 2025-07-22T160915.784.jpeg,urassayasperbund,urassayasperbund,0.8278314,True,SphereFace,1NN
cac-tap-phim-co-su-tham-gia-cua-urassaya-sperbund-thumbail.jpg,urassayasperbund,urassayasperbund,0.87787366,True,SphereFace,1NN
images - 2025-07-22T160915.516.jpeg,urassayasperbund,henrygolding,0.80380046,False,SphereFace,1NN
images - 2025-07-22T160915.524.jpeg,urassayasperbund,gongli,0.7800746,False,SphereFace,1NN
images (83).jpeg,urassayasperbund,urassayasperbund,0.7125602,True,SphereFace,1NN
images (82).jpeg,urassayasperbund,gongli,0.8102621,False,SphereFace,1NN
images - 2025-07-22T160916.133.jpeg,urassayasperbund,urassayasperbund,0.88873124,True,SphereFace,1NN
images - 2025-07-22T160915.486.jpeg,urassayasperbund,sitinurhaliza,0.802047,False,SphereFace,1NN
download (16).jpeg,urassayasperbund,urassayasperbund,0.90650356,True,SphereFace,1NN
download (21).jpeg,urassayasperbund,urassayasperbund,0.8797619,True,SphereFace,1NN
images - 2025-07-22T160916.128.jpeg,urassayasperbund,urassayasperbund,0.7889465,True,SphereFace,1NN
download (14).jpeg,urassayasperbund,urassayasperbund,0.9769646,True,SphereFace,1NN
images (26).jpeg,urassayasperbund,urassayasperbund,0.8247008,True,SphereFace,1NN
download (26).jpeg,urassayasperbund,yangmi,0.83351755,False,SphereFace,1NN
2849b192-75db-43b7-9e73-7bbc0697c5cd_11.jpeg,urassayasperbund,urassayasperbund,0.90764284,True,SphereFace,1NN
images - 2025-07-22T160915.845.jpeg,urassayasperbund,urassayasperbund,0.74431646,True,SphereFace,1NN
urassaya-sperbund-d39bf871-90d2-4bc5-bfb2-c82f127de37-resize-750.jpeg,urassayasperbund,urassayasperbund,0.83417916,True,SphereFace,1NN
urassaya-sperbund-attends-the-louis-vuitton-fallwinter-2023-2024-ready-to-wear-collection-presented-monday-march-6-2023-in-paris-vianney-le-caerinvisionap-2P51JY8.jpg,urassayasperbund,urassayasperbund,0.97010523,True,SphereFace,1NN
images - 2025-07-22T155411.111.jpeg,gongli,yangmi,0.7788578,False,SphereFace,1NN
images - 2025-07-22T155411.098.jpeg,gongli,gongli,0.9497499,True,SphereFace,1NN
images (27).jpeg,gongli,gongli,0.6340075,True,SphereFace,1NN
GONG-LI_Head-of-Jury-for-the-55th-GHA-e1531859364238.jpg,gongli,gongli,0.9761603,True,SphereFace,1NN
images - 2025-07-22T155411.125.jpeg,gongli,urassayasperbund,0.85513824,False,SphereFace,1NN
images - 2025-07-22T155411.288.jpeg,gongli,priyankachopra,0.8695415,False,SphereFace,1NN
hq720.jpg,gongli,yangmi,0.85758966,False,SphereFace,1NN
images - 2025-07-22T155411.116.jpeg,gongli,priyankachopra,0.85164773,False,SphereFace,1NN
images - 2025-07-22T155411.131.jpeg,gongli,gongli,0.85028994,True,SphereFace,1NN
download (7).jpeg,gongli,irrfankhan,0.8395386,False,SphereFace,1NN
250px-Gong_Li_Cannes_2011.jpg,gongli,gongli,0.93520266,True,SphereFace,1NN
images (6).jpeg,gongli,yangmi,0.82795995,False,SphereFace,1NN
download (11).jpeg,gongli,priyankachopra,0.7960544,False,SphereFace,1NN
images (37).jpeg,gongli,henrygolding,0.8238541,False,SphereFace,1NN
001ec9790963150dec6d00.jpg,gongli,yangmi,0.6884521,False,SphereFace,1NN
images - 2025-07-22T155411.369.jpeg,gongli,priyankachopra,0.8661467,False,SphereFace,1NN
images (20).jpeg,ronnychieng,ronnychieng,0.85827434,True,SphereFace,1NN
images - 2025-07-22T154841.136.jpeg,ronnychieng,irrfankhan,0.84218544,False,SphereFace,1NN
images (7).jpeg,ronnychieng,henrygolding,0.8330776,False,SphereFace,1NN
images (43).jpeg,ronnychieng,ronnychieng,0.81706184,True,SphereFace,1NN
ronny-chieng-martial-arts-comedy-film-project-696x442.jpg,ronnychieng,ronnychieng,0.76797116,True,SphereFace,1NN
images - 2025-07-22T154841.130.jpeg,ronnychieng,gongli,0.70421785,False,SphereFace,1NN
images (38).jpeg,ronnychieng,henrygolding,0.801352,False,SphereFace,1NN
images (15).jpeg,ronnychieng,henrygolding,0.8649198,False,SphereFace,1NN
download (5).jpeg,ronnychieng,ronnychieng,0.67550254,True,SphereFace,1NN
images - 2025-07-22T154841.440.jpeg,ronnychieng,ronnychieng,0.81616163,True,SphereFace,1NN
