image_path,true_celebrity,predicted_celebrity,confidence,correct,model,classifier
henry_golding2.jpg,henrygolding,henrygolding,0.8384391,True,SphereFace,prototype
"1200px-Carmen_Roberts_and_Henry_Golding,_Presenters,_The_Travel_Show,_BBC_(cropped).jpg",henrygolding,henrygolding,0.7522504,True,SphereFace,prototype
images (14).jpeg,henrygolding,irrfankhan,0.8850247,False,SphereFace,prototype
images (94).jpeg,henrygolding,aaronaziz,0.69045174,False,SphereFace,prototype
images - 2025-07-22T154439.130.jpeg,henrygolding,henrygolding,0.8631017,True,SphereFace,prototype
henrygolding.jpg,henrygolding,henrygolding,0.78164613,True,SphereFace,prototype
download (5).jpeg,henrygolding,irrfankhan,0.8794049,False,SphereFace,prototype
images - 2025-07-22T154439.413.jpeg,henrygolding,henrygolding,0.8118746,True,SphereFace,prototype
images - 2025-07-22T154439.547.jpeg,henrygolding,irrfankhan,0.79414284,False,SphereFace,prototype
images - 2025-07-22T154439.383.jpeg,henrygolding,ronnychieng,0.76855636,False,SphereFace,prototype
download (18).jpeg,henrygolding,henrygolding,0.84816206,True,SphereFace,prototype
images - 2025-07-22T154439.072.jpeg,henrygolding,ronnychieng,0.8562071,False,SphereFace,prototype
images - 2025-07-22T154439.226.jpeg,henrygolding,henrygolding,0.69856846,True,SphereFace,prototype
rs_1200x1200-220309073150-1200-henry-golding-for-david-yurman-gj.jpg,henrygolding,henrygolding,0.8090863,True,SphereFace,prototype
HenryGoldingCrazyRichAsians.jpg,henrygolding,henrygolding,0.87174594,True,SphereFace,prototype
images - 2025-07-22T154439.359.jpeg,henrygolding,aaronaziz,0.8766638,False,SphereFace,prototype
download (9).jpeg,henrygolding,gongli,0.84027976,False,SphereFace,prototype
_103395645_warnerbros_cra-01079.jpg,henrygolding,henrygolding,0.8026922,True,SphereFace,prototype
Henry_Golding_at_the_2024_Toronto_International_Film_Festival_(Cropped).jpg,henrygolding,irrfankhan,0.8761677,False,SphereFace,prototype
download (11).jpeg,henrygolding,henrygolding,0.8449666,True,SphereFace,prototype
images - 2025-07-22T154439.529.jpeg,henrygolding,henrygolding,0.7834716,True,SphereFace,prototype
images (59).jpeg,henrygolding,aaronaziz,0.85202,False,SphereFace,prototype
images - 2025-07-22T154439.198.jpeg,henrygolding,ronnychieng,0.80378836,False,SphereFace,prototype
images (94).jpeg,urassayasperbund,aaronaziz,0.8472388,False,SphereFace,prototype
images - 2025-07-22T160915.784.jpeg,urassayasperbund,priyankachopra,0.8029339,False,SphereFace,prototype
cac-tap-phim-co-su-tham-gia-cua-urassaya-sperbund-thumbail.jpg,urassayasperbund,urassayasperbund,0.88954943,True,SphereFace,prototype
images - 2025-07-22T160915.516.jpeg,urassayasperbund,henrygolding,0.82591856,False,SphereFace,prototype
images - 2025-07-22T160915.524.jpeg,urassayasperbund,urassayasperbund,0.7692478,True,SphereFace,prototype
images (83).jpeg,urassayasperbund,urassayasperbund,0.68656254,True,SphereFace,prototype
images (82).jpeg,urassayasperbund,yangmi,0.8005649,False,SphereFace,prototype
images - 2025-07-22T160916.133.jpeg,urassayasperbund,priyankachopra,0.89141655,False,SphereFace,prototype
images - 2025-07-22T160915.486.jpeg,urassayasperbund,sitinurhaliza,0.8168099,False,SphereFace,prototype
download (16).jpeg,urassayasperbund,priyankachopra,0.8853377,False,SphereFace,prototype
download (21).jpeg,urassayasperbund,gongli,0.65670043,False,SphereFace,prototype
images - 2025-07-22T160916.128.jpeg,urassayasperbund,urassayasperbund,0.8435863,True,SphereFace,prototype
download (14).jpeg,urassayasperbund,priyankachopra,0.85351837,False,SphereFace,prototype
images (26).jpeg,urassayasperbund,urassayasperbund,0.8180928,True,SphereFace,prototype
download (26).jpeg,urassayasperbund,yangmi,0.8643843,False,SphereFace,prototype
2849b192-75db-43b7-9e73-7bbc0697c5cd_11.jpeg,urassayasperbund,sitinurhaliza,0.7304505,False,SphereFace,prototype
images - 2025-07-22T160915.845.jpeg,urassayasperbund,urassayasperbund,0.75183165,True,SphereFace,prototype
urassaya-sperbund-d39bf871-90d2-4bc5-bfb2-c82f127de37-resize-750.jpeg,urassayasperbund,priyankachopra,0.8292443,False,SphereFace,prototype
urassaya-sperbund-attends-the-louis-vuitton-fallwinter-2023-2024-ready-to-wear-collection-presented-monday-march-6-2023-in-paris-vianney-le-caerinvisionap-2P51JY8.jpg,urassayasperbund,henrygolding,0.83476347,False,SphereFace,prototype
images - 2025-07-22T155411.111.jpeg,gongli,yangmi,0.68680656,False,SphereFace,prototype
images - 2025-07-22T155411.098.jpeg,gongli,gongli,0.7992786,True,SphereFace,prototype
