image_path,true_celebrity,predicted_celebrity,confidence,correct,model,classifier
henry_golding2.jpg,henrygolding,sitinurhaliza,0.70728624,False,UniFace,1NN
"1200px-Carmen_Roberts_and_Henry_Golding,_Presenters,_The_Travel_Show,_BBC_(cropped).jpg",henrygolding,henrygolding,0.58311653,True,UniFace,1NN
images (14).jpeg,henrygolding,henrygolding,0.8506325,True,UniFace,1NN
images (94).jpeg,henrygolding,henrygolding,0.6286325,True,UniFace,1NN
images - 2025-07-22T154439.130.jpeg,henrygolding,henrygolding,0.74367964,True,UniFace,1NN
henrygolding.jpg,henrygolding,henrygolding,0.94928944,True,UniFace,1NN
download (5).jpeg,henrygolding,henrygolding,0.8328556,True,UniFace,1NN
images - 2025-07-22T154439.413.jpeg,henrygolding,henrygolding,0.7129425,True,UniFace,1NN
images - 2025-07-22T154439.547.jpeg,henrygolding,aaronaziz,0.9397428,False,UniFace,1NN
images - 2025-07-22T154439.383.jpeg,henrygolding,ronnychieng,0.6464942,False,UniFace,1NN
download (18).jpeg,henrygolding,henrygolding,0.6528709,True,UniFace,1NN
images - 2025-07-22T154439.072.jpeg,henrygolding,henrygolding,0.78462565,True,UniFace,1NN
images - 2025-07-22T154439.226.jpeg,henrygolding,henrygolding,0.71370447,True,UniFace,1NN
rs_1200x1200-220309073150-1200-henry-golding-for-david-yurman-gj.jpg,henrygolding,ronnychieng,0.896808,False,UniFace,1NN
HenryGoldingCrazyRichAsians.jpg,henrygolding,henrygolding,0.8663892,True,UniFace,1NN
images - 2025-07-22T154439.359.jpeg,henrygolding,henrygolding,0.71301025,True,UniFace,1NN
download (9).jpeg,henrygolding,yangmi,0.65956235,False,UniFace,1NN
_103395645_warnerbros_cra-01079.jpg,henrygolding,henrygolding,0.80183727,True,UniFace,1NN
Henry_Golding_at_the_2024_Toronto_International_Film_Festival_(Cropped).jpg,henrygolding,henrygolding,0.8466356,True,UniFace,1NN
download (11).jpeg,henrygolding,henrygolding,0.66917765,True,UniFace,1NN
images - 2025-07-22T154439.529.jpeg,henrygolding,henrygolding,0.61702085,True,UniFace,1NN
