image_path,true_celebrity,predicted_celebrity,confidence,correct,model
cac-tap-phim-co-su-tham-gia-cua-urassaya-sperbund-thumbail.jpg,urassayasperbund,yangmi,0.13492183,False,AdaFace
urassaya-sperbund-attends-the-louis-vuitton-fallwinter-2023-2024-ready-to-wear-collection-presented-monday-march-6-2023-in-paris-vianney-le-caerinvisionap-2P51JY8.jpg,urassayasperbund,yangmi,0.1510962,False,AdaFace
images (94).jpeg,urassayasperbund,sitinurhaliza,0.1736149,False,AdaFace
images - 2025-07-22T160915.784.jpeg,urassayasperbund,yangmi,0.14222442,False,AdaFace
images - 2025-07-22T160915.516.jpeg,urassayasperbund,yangmi,0.14159083,False,AdaFace
images - 2025-07-22T160915.524.jpeg,urassayasperbund,yangmi,0.13764761,False,AdaFace
images (83).jpeg,urassayasperbund,yangmi,0.1445107,False,AdaFace
images (82).jpeg,urassayasperbund,yangmi,0.14824502,False,AdaFace
images - 2025-07-22T160916.133.jpeg,urassayasperbund,yangmi,0.13616137,False,AdaFace
images - 2025-07-22T160915.486.jpeg,urassayasperbund,sitinurhaliza,0.15198156,False,AdaFace
download (16).jpeg,urassayasperbund,sitinurhaliza,0.22798714,False,AdaFace
download (21).jpeg,urassayasperbund,yangmi,0.145026,False,AdaFace
images - 2025-07-22T160916.128.jpeg,urassayasperbund,yangmi,0.14026563,False,AdaFace
download (14).jpeg,urassayasperbund,yangmi,0.13946813,False,AdaFace
images (26).jpeg,urassayasperbund,yangmi,0.14045021,False,AdaFace
download (26).jpeg,urassayasperbund,yangmi,0.14276683,False,AdaFace
2849b192-75db-43b7-9e73-7bbc0697c5cd_11.jpeg,urassayasperbund,yangmi,0.13709566,False,AdaFace
images - 2025-07-22T160915.845.jpeg,urassayasperbund,yangmi,0.13791022,False,AdaFace
urassaya-sperbund-d39bf871-90d2-4bc5-bfb2-c82f127de37-resize-750.jpeg,urassayasperbund,yangmi,0.1398025,False,AdaFace
henry_golding2.jpg,henrygolding,yangmi,0.159478,False,AdaFace
"1200px-Carmen_Roberts_and_Henry_Golding,_Presenters,_The_Travel_Show,_BBC_(cropped).jpg",henrygolding,yangmi,0.14111973,False,AdaFace
henrygolding.jpg,henrygolding,yangmi,0.13648324,False,AdaFace
rs_1200x1200-220309073150-1200-henry-golding-for-david-yurman-gj.jpg,henrygolding,yangmi,0.13933039,False,AdaFace
HenryGoldingCrazyRichAsians.jpg,henrygolding,yangmi,0.13717033,False,AdaFace
_103395645_warnerbros_cra-01079.jpg,henrygolding,yangmi,0.13755688,False,AdaFace
Henry_Golding_at_the_2024_Toronto_International_Film_Festival_(Cropped).jpg,henrygolding,yangmi,0.14537287,False,AdaFace
images (14).jpeg,henrygolding,sitinurhaliza,0.2116938,False,AdaFace
images (94).jpeg,henrygolding,yangmi,0.14047243,False,AdaFace
images - 2025-07-22T154439.130.jpeg,henrygolding,sitinurhaliza,0.25510395,False,AdaFace
download (5).jpeg,henrygolding,yangmi,0.14495975,False,AdaFace
images - 2025-07-22T154439.413.jpeg,henrygolding,yangmi,0.14818892,False,AdaFace
images - 2025-07-22T154439.547.jpeg,henrygolding,yangmi,0.1385845,False,AdaFace
images - 2025-07-22T154439.383.jpeg,henrygolding,yangmi,0.13957217,False,AdaFace
download (18).jpeg,henrygolding,yangmi,0.14079398,False,AdaFace
images - 2025-07-22T154439.072.jpeg,henrygolding,yangmi,0.1543567,False,AdaFace
images - 2025-07-22T154439.226.jpeg,henrygolding,yangmi,0.15352058,False,AdaFace
images - 2025-07-22T154439.359.jpeg,henrygolding,yangmi,0.13560803,False,AdaFace
