image_path,true_celebrity,predicted_celebrity,confidence,correct,model
cac-tap-phim-co-su-tham-gia-cua-urassaya-sperbund-thumbail.jpg,urassayasperbund,priyankachopra,0.12802248,False,ArcFace_Combined
urassaya-sperbund-attends-the-louis-vuitton-fallwinter-2023-2024-ready-to-wear-collection-presented-monday-march-6-2023-in-paris-vianney-le-caerinvisionap-2P51JY8.jpg,urassayasperbund,henrygolding,0.14147487,False,ArcFace_Combined
images (94).jpeg,urassayasperbund,yangmi,0.12352061,False,ArcFace_Combined
images - 2025-07-22T160915.784.jpeg,urassayasperbund,priyankachopra,0.13149789,False,ArcFace_Combined
images - 2025-07-22T160915.516.jpeg,urassayasperbund,yangmi,0.12414414,False,ArcFace_Combined
images - 2025-07-22T160915.524.jpeg,urassayasperbund,priyankachopra,0.12735292,False,ArcFace_Combined
images (83).jpeg,urassayasperbund,priyankachopra,0.12377205,False,ArcFace_Combined
images (82).jpeg,urassayasperbund,priyankachopra,0.12603109,False,ArcFace_Combined
images - 2025-07-22T160916.133.jpeg,urassayasperbund,priyankachopra,0.1279627,False,ArcFace_Combined
images - 2025-07-22T160915.486.jpeg,urassayasperbund,priyankachopra,0.127654,False,ArcFace_Combined
download (16).jpeg,urassayasperbund,priyankachopra,0.12813437,False,ArcFace_Combined
download (21).jpeg,urassayasperbund,priyankachopra,0.1252768,False,ArcFace_Combined
images - 2025-07-22T160916.128.jpeg,urassayasperbund,priyankachopra,0.12963851,False,ArcFace_Combined
download (14).jpeg,urassayasperbund,priyankachopra,0.12965076,False,ArcFace_Combined
images (26).jpeg,urassayasperbund,priyankachopra,0.123753816,False,ArcFace_Combined
download (26).jpeg,urassayasperbund,priyankachopra,0.12678069,False,ArcFace_Combined
2849b192-75db-43b7-9e73-7bbc0697c5cd_11.jpeg,urassayasperbund,priyankachopra,0.12800899,False,ArcFace_Combined
images - 2025-07-22T160915.845.jpeg,urassayasperbund,priyankachopra,0.12876591,False,ArcFace_Combined
urassaya-sperbund-d39bf871-90d2-4bc5-bfb2-c82f127de37-resize-750.jpeg,urassayasperbund,priyankachopra,0.1283119,False,ArcFace_Combined
henry_golding2.jpg,henrygolding,priyankachopra,0.122760415,False,ArcFace_Combined
"1200px-Carmen_Roberts_and_Henry_Golding,_Presenters,_The_Travel_Show,_BBC_(cropped).jpg",henrygolding,priyankachopra,0.12777466,False,ArcFace_Combined
henrygolding.jpg,henrygolding,priyankachopra,0.12804809,False,ArcFace_Combined
rs_1200x1200-220309073150-1200-henry-golding-for-david-yurman-gj.jpg,henrygolding,priyankachopra,0.13055058,False,ArcFace_Combined
HenryGoldingCrazyRichAsians.jpg,henrygolding,priyankachopra,0.1275464,False,ArcFace_Combined
_103395645_warnerbros_cra-01079.jpg,henrygolding,priyankachopra,0.12452147,False,ArcFace_Combined
Henry_Golding_at_the_2024_Toronto_International_Film_Festival_(Cropped).jpg,henrygolding,priyankachopra,0.12695265,False,ArcFace_Combined
images (14).jpeg,henrygolding,sitinurhaliza,0.16058888,False,ArcFace_Combined
images (94).jpeg,henrygolding,yangmi,0.1229612,False,ArcFace_Combined
images - 2025-07-22T154439.130.jpeg,henrygolding,yangmi,0.12340895,False,ArcFace_Combined
download (5).jpeg,henrygolding,priyankachopra,0.12666199,False,ArcFace_Combined
images - 2025-07-22T154439.413.jpeg,henrygolding,priyankachopra,0.12682784,False,ArcFace_Combined
images - 2025-07-22T154439.547.jpeg,henrygolding,priyankachopra,0.12688051,False,ArcFace_Combined
images - 2025-07-22T154439.383.jpeg,henrygolding,priyankachopra,0.12780449,False,ArcFace_Combined
download (18).jpeg,henrygolding,priyankachopra,0.13010523,False,ArcFace_Combined
