image_path,true_celebrity,predicted_celebrity,confidence,correct,model
cac-tap-phim-co-su-tham-gia-cua-urassaya-sperbund-thumbail.jpg,urassayasperbund,priyankachopra,0.12664337,False,ArcFace
urassaya-sperbund-attends-the-louis-vuitton-fallwinter-2023-2024-ready-to-wear-collection-presented-monday-march-6-2023-in-paris-vianney-le-caerinvisionap-2P51JY8.jpg,urassayasperbund,urassayasperbund,0.12830856,True,ArcFace
images (94).jpeg,urassayasperbund,henrygolding,0.122251235,False,ArcFace
images - 2025-07-22T160915.784.jpeg,urassayasperbund,henrygolding,0.12558304,False,ArcFace
images - 2025-07-22T160915.516.jpeg,urassayasperbund,urassayasperbund,0.12737304,True,ArcFace
images - 2025-07-22T160915.524.jpeg,urassayasperbund,urassayasperbund,0.13066886,True,ArcFace
images (83).jpeg,urassayasperbund,yangmi,0.123446,False,ArcFace
images (82).jpeg,urassayasperbund,henrygolding,0.1232905,False,ArcFace
images - 2025-07-22T160916.133.jpeg,urassayasperbund,priyankachopra,0.12704624,False,ArcFace
images - 2025-07-22T160915.486.jpeg,urassayasperbund,sitinurhaliza,0.1480035,False,ArcFace
download (16).jpeg,urassayasperbund,yangmi,0.12386009,False,ArcFace
download (21).jpeg,urassayasperbund,urassayasperbund,0.13022713,True,ArcFace
images - 2025-07-22T160916.128.jpeg,urassayasperbund,urassayasperbund,0.12936614,True,ArcFace
download (14).jpeg,urassayasperbund,urassayasperbund,0.12953043,True,ArcFace
images (26).jpeg,urassayasperbund,urassayasperbund,0.12946428,True,ArcFace
download (26).jpeg,urassayasperbund,urassayasperbund,0.1297187,True,ArcFace
2849b192-75db-43b7-9e73-7bbc0697c5cd_11.jpeg,urassayasperbund,urassayasperbund,0.1319516,True,ArcFace
images - 2025-07-22T160915.845.jpeg,urassayasperbund,urassayasperbund,0.13042195,True,ArcFace
urassaya-sperbund-d39bf871-90d2-4bc5-bfb2-c82f127de37-resize-750.jpeg,urassayasperbund,urassayasperbund,0.1297604,True,ArcFace
henry_golding2.jpg,henrygolding,sitinurhaliza,0.1713139,False,ArcFace
"1200px-Carmen_Roberts_and_Henry_Golding,_Presenters,_The_Travel_Show,_BBC_(cropped).jpg",henrygolding,yangmi,0.12284068,False,ArcFace
henrygolding.jpg,henrygolding,yangmi,0.124938875,False,ArcFace
rs_1200x1200-220309073150-1200-henry-golding-for-david-yurman-gj.jpg,henrygolding,urassayasperbund,0.126942,False,ArcFace
HenryGoldingCrazyRichAsians.jpg,henrygolding,urassayasperbund,0.12619287,False,ArcFace
_103395645_warnerbros_cra-01079.jpg,henrygolding,urassayasperbund,0.12995073,False,ArcFace
Henry_Golding_at_the_2024_Toronto_International_Film_Festival_(Cropped).jpg,henrygolding,urassayasperbund,0.12792946,False,ArcFace
images (14).jpeg,henrygolding,henrygolding,0.12107587,True,ArcFace
images (94).jpeg,henrygolding,henrygolding,0.12162914,True,ArcFace
images - 2025-07-22T154439.130.jpeg,henrygolding,henrygolding,0.12979186,True,ArcFace
download (5).jpeg,henrygolding,urassayasperbund,0.12868468,False,ArcFace
images - 2025-07-22T154439.413.jpeg,henrygolding,urassayasperbund,0.12887578,False,ArcFace
images - 2025-07-22T154439.547.jpeg,henrygolding,urassayasperbund,0.1275711,False,ArcFace
images - 2025-07-22T154439.383.jpeg,henrygolding,urassayasperbund,0.12859824,False,ArcFace
download (18).jpeg,henrygolding,urassayasperbund,0.13076727,False,ArcFace
images - 2025-07-22T154439.072.jpeg,henrygolding,sitinurhaliza,0.32716852,False,ArcFace
images - 2025-07-22T154439.226.jpeg,henrygolding,sitinurhaliza,0.12906677,False,ArcFace
images - 2025-07-22T154439.359.jpeg,henrygolding,urassayasperbund,0.128357,False,ArcFace
download (9).jpeg,henrygolding,urassayasperbund,0.12645149,False,ArcFace
download (11).jpeg,henrygolding,urassayasperbund,0.1299138,False,ArcFace
images - 2025-07-22T154439.529.jpeg,henrygolding,sitinurhaliza,0.15529457,False,ArcFace
images (59).jpeg,henrygolding,priyankachopra,0.12637223,False,ArcFace
images - 2025-07-22T154439.198.jpeg,henrygolding,yangmi,0.12464043,False,ArcFace
ronny-chieng-martial-arts-comedy-film-project-696x442.jpg,ronnychieng,henrygolding,0.12156825,False,ArcFace
Ronny-Chieng-1.jpg,ronnychieng,henrygolding,0.12263208,False,ArcFace
maxresdefault (1).jpg,ronnychieng,sitinurhaliza,0.33686262,False,ArcFace
images (20).jpeg,ronnychieng,henrygolding,0.12116092,False,ArcFace
images - 2025-07-22T154841.136.jpeg,ronnychieng,urassayasperbund,0.12919363,False,ArcFace
images (7).jpeg,ronnychieng,sitinurhaliza,0.32593822,False,ArcFace
images (43).jpeg,ronnychieng,sitinurhaliza,0.17363937,False,ArcFace
