image_path,true_celebrity,predicted_celebrity,confidence,correct,model
cac-tap-phim-co-su-tham-gia-cua-urassaya-sperbund-thumbail.jpg,urassayasperbund,henrygolding,0.13015552,False,CurricularFace
urassaya-sperbund-attends-the-louis-vuitton-fallwinter-2023-2024-ready-to-wear-collection-presented-monday-march-6-2023-in-paris-vianney-le-caerinvisionap-2P51JY8.jpg,urassayasperbund,henrygolding,0.121486865,False,CurricularFace
images (94).jpeg,urassayasperbund,henrygolding,0.1283556,False,CurricularFace
images - 2025-07-22T160915.784.jpeg,urassayasperbund,henrygolding,0.13051423,False,CurricularFace
images - 2025-07-22T160915.516.jpeg,urassayasperbund,henrygolding,0.13001965,False,CurricularFace
images - 2025-07-22T160915.524.jpeg,urassayasperbund,henrygolding,0.13038316,False,CurricularFace
images (83).jpeg,urassayasperbund,henrygolding,0.12514213,False,CurricularFace
images (82).jpeg,urassayasperbund,henrygolding,0.12786533,False,CurricularFace
images - 2025-07-22T160916.133.jpeg,urassayasperbund,henrygolding,0.13029137,False,CurricularFace
images - 2025-07-22T160915.486.jpeg,urassayasperbund,henrygolding,0.12343702,False,CurricularFace
download (16).jpeg,urassayasperbund,henrygolding,0.12736543,False,CurricularFace
download (21).jpeg,urassayasperbund,henrygolding,0.13010909,False,CurricularFace
images - 2025-07-22T160916.128.jpeg,urassayasperbund,henrygolding,0.12940939,False,CurricularFace
download (14).jpeg,urassayasperbund,henrygolding,0.12921102,False,CurricularFace
images (26).jpeg,urassayasperbund,henrygolding,0.13008597,False,CurricularFace
download (26).jpeg,urassayasperbund,henrygolding,0.12556663,False,CurricularFace
2849b192-75db-43b7-9e73-7bbc0697c5cd_11.jpeg,urassayasperbund,henrygolding,0.13020569,False,CurricularFace
images - 2025-07-22T160915.845.jpeg,urassayasperbund,henrygolding,0.13022606,False,CurricularFace
urassaya-sperbund-d39bf871-90d2-4bc5-bfb2-c82f127de37-resize-750.jpeg,urassayasperbund,henrygolding,0.1303174,False,CurricularFace
henry_golding2.jpg,henrygolding,henrygolding,0.12540078,True,CurricularFace
"1200px-Carmen_Roberts_and_Henry_Golding,_Presenters,_The_Travel_Show,_BBC_(cropped).jpg",henrygolding,henrygolding,0.12455983,True,CurricularFace
henrygolding.jpg,henrygolding,henrygolding,0.13003145,True,CurricularFace
rs_1200x1200-220309073150-1200-henry-golding-for-david-yurman-gj.jpg,henrygolding,henrygolding,0.13010147,True,CurricularFace
HenryGoldingCrazyRichAsians.jpg,henrygolding,henrygolding,0.1291464,True,CurricularFace
_103395645_warnerbros_cra-01079.jpg,henrygolding,henrygolding,0.1302133,True,CurricularFace
Henry_Golding_at_the_2024_Toronto_International_Film_Festival_(Cropped).jpg,henrygolding,henrygolding,0.1298288,True,CurricularFace
images (14).jpeg,henrygolding,sitinurhaliza,0.46407932,False,CurricularFace
images (94).jpeg,henrygolding,henrygolding,0.12911968,True,CurricularFace
images - 2025-07-22T154439.130.jpeg,henrygolding,henrygolding,0.12960143,True,CurricularFace
download (5).jpeg,henrygolding,henrygolding,0.12969187,True,CurricularFace
images - 2025-07-22T154439.413.jpeg,henrygolding,sitinurhaliza,0.118983105,False,CurricularFace
