image_path,true_celebrity,predicted_celebrity,confidence,correct,model
cac-tap-phim-co-su-tham-gia-cua-urassaya-sperbund-thumbail.jpg,urassayasperbund,henrygolding,0.12756525,False,MagFace
urassaya-sperbund-attends-the-louis-vuitton-fallwinter-2023-2024-ready-to-wear-collection-presented-monday-march-6-2023-in-paris-vianney-le-caerinvisionap-2P51JY8.jpg,urassayasperbund,yangmi,0.1286252,False,MagFace
images (94).jpeg,urassayasperbund,henrygolding,0.1358458,False,MagFace
images - 2025-07-22T160915.784.jpeg,urassayasperbund,yangmi,0.12825957,False,MagFace
images - 2025-07-22T160915.516.jpeg,urassayasperbund,yangmi,0.12756638,False,MagFace
images - 2025-07-22T160915.524.jpeg,urassayasperbund,yangmi,0.12816407,False,MagFace
images (83).jpeg,urassayasperbund,yangmi,0.12750173,False,MagFace
images (82).jpeg,urassayasperbund,henrygolding,0.12726146,False,MagFace
images - 2025-07-22T160916.133.jpeg,urassayasperbund,henrygolding,0.1277505,False,MagFace
images - 2025-07-22T160915.486.jpeg,urassayasperbund,yangmi,0.12704378,False,MagFace
download (16).jpeg,urassayasperbund,henrygolding,0.12761404,False,MagFace
download (21).jpeg,urassayasperbund,yangmi,0.12756269,False,MagFace
images - 2025-07-22T160916.128.jpeg,urassayasperbund,yangmi,0.12762378,False,MagFace
download (14).jpeg,urassayasperbund,yangmi,0.12734185,False,MagFace
images (26).jpeg,urassayasperbund,yangmi,0.12790002,False,MagFace
download (26).jpeg,urassayasperbund,yangmi,0.12745489,False,MagFace
2849b192-75db-43b7-9e73-7bbc0697c5cd_11.jpeg,urassayasperbund,yangmi,0.12751645,False,MagFace
images - 2025-07-22T160915.845.jpeg,urassayasperbund,yangmi,0.12731692,False,MagFace
urassaya-sperbund-d39bf871-90d2-4bc5-bfb2-c82f127de37-resize-750.jpeg,urassayasperbund,yangmi,0.12787145,False,MagFace
henry_golding2.jpg,henrygolding,henrygolding,0.1516172,True,MagFace
"1200px-Carmen_Roberts_and_Henry_Golding,_Presenters,_The_Travel_Show,_BBC_(cropped).jpg",henrygolding,henrygolding,0.13441575,True,MagFace
henrygolding.jpg,henrygolding,henrygolding,0.1276024,True,MagFace
rs_1200x1200-220309073150-1200-henry-golding-for-david-yurman-gj.jpg,henrygolding,henrygolding,0.12725562,True,MagFace
HenryGoldingCrazyRichAsians.jpg,henrygolding,henrygolding,0.12745562,True,MagFace
_103395645_warnerbros_cra-01079.jpg,henrygolding,yangmi,0.12748176,False,MagFace
Henry_Golding_at_the_2024_Toronto_International_Film_Festival_(Cropped).jpg,henrygolding,henrygolding,0.12723108,True,MagFace
images (14).jpeg,henrygolding,henrygolding,0.13702692,True,MagFace
images (94).jpeg,henrygolding,yangmi,0.12782189,False,MagFace
images - 2025-07-22T154439.130.jpeg,henrygolding,yangmi,0.1275414,False,MagFace
download (5).jpeg,henrygolding,henrygolding,0.12729214,True,MagFace
images - 2025-07-22T154439.413.jpeg,henrygolding,yangmi,0.12821259,False,MagFace
images - 2025-07-22T154439.547.jpeg,henrygolding,henrygolding,0.12724105,True,MagFace
images - 2025-07-22T154439.383.jpeg,henrygolding,yangmi,0.12790683,False,MagFace
download (18).jpeg,henrygolding,yangmi,0.12789288,False,MagFace
images - 2025-07-22T154439.072.jpeg,henrygolding,henrygolding,0.14417215,True,MagFace
images - 2025-07-22T154439.226.jpeg,henrygolding,yangmi,0.12813169,False,MagFace
images - 2025-07-22T154439.359.jpeg,henrygolding,henrygolding,0.12734006,True,MagFace
download (9).jpeg,henrygolding,henrygolding,0.12748657,True,MagFace
download (11).jpeg,henrygolding,yangmi,0.12749524,False,MagFace
images - 2025-07-22T154439.529.jpeg,henrygolding,yangmi,0.12800856,False,MagFace
images (59).jpeg,henrygolding,henrygolding,0.12741439,True,MagFace
images - 2025-07-22T154439.198.jpeg,henrygolding,henrygolding,0.12704127,True,MagFace
ronny-chieng-martial-arts-comedy-film-project-696x442.jpg,ronnychieng,henrygolding,0.12978867,False,MagFace
Ronny-Chieng-1.jpg,ronnychieng,yangmi,0.12873179,False,MagFace
maxresdefault (1).jpg,ronnychieng,sitinurhaliza,0.18922101,False,MagFace
images (20).jpeg,ronnychieng,yangmi,0.12953858,False,MagFace
images - 2025-07-22T154841.136.jpeg,ronnychieng,henrygolding,0.12733582,False,MagFace
images (7).jpeg,ronnychieng,sitinurhaliza,0.32033163,False,MagFace
images (43).jpeg,ronnychieng,henrygolding,0.13861716,False,MagFace
images - 2025-07-22T154841.130.jpeg,ronnychieng,sitinurhaliza,0.28757426,False,MagFace
images (38).jpeg,ronnychieng,henrygolding,0.1275296,False,MagFace
images (15).jpeg,ronnychieng,yangmi,0.12761916,False,MagFace
download (5).jpeg,ronnychieng,yangmi,0.12777677,False,MagFace
images - 2025-07-22T154841.440.jpeg,ronnychieng,henrygolding,0.1295037,False,MagFace
images (96).jpeg,ronnychieng,henrygolding,0.1275253,False,MagFace
images (70).jpeg,ronnychieng,henrygolding,0.14171238,False,MagFace
download (9).jpeg,ronnychieng,sitinurhaliza,0.20339224,False,MagFace
images (89).jpeg,ronnychieng,yangmi,0.12853879,False,MagFace
images - 2025-07-22T154841.120.jpeg,ronnychieng,sitinurhaliza,0.15294711,False,MagFace
images - 2025-07-22T154841.350.jpeg,ronnychieng,yangmi,0.12762246,False,MagFace
GONG-LI_Head-of-Jury-for-the-55th-GHA-e1531859364238.jpg,gongli,henrygolding,0.12757972,False,MagFace
hq720.jpg,gongli,yangmi,0.12798312,False,MagFace
250px-Gong_Li_Cannes_2011.jpg,gongli,henrygolding,0.1417906,False,MagFace
001ec9790963150dec6d00.jpg,gongli,henrygolding,0.12740499,False,MagFace
images - 2025-07-22T155411.111.jpeg,gongli,henrygolding,0.12686211,False,MagFace
images - 2025-07-22T155411.098.jpeg,gongli,yangmi,0.12803306,False,MagFace
images (27).jpeg,gongli,yangmi,0.12756394,False,MagFace
images - 2025-07-22T155411.125.jpeg,gongli,yangmi,0.127657,False,MagFace
images - 2025-07-22T155411.288.jpeg,gongli,henrygolding,0.12737544,False,MagFace
images - 2025-07-22T155411.116.jpeg,gongli,yangmi,0.12737723,False,MagFace
images - 2025-07-22T155411.131.jpeg,gongli,henrygolding,0.12737982,False,MagFace
download (7).jpeg,gongli,henrygolding,0.12730557,False,MagFace
images (6).jpeg,gongli,yangmi,0.12900527,False,MagFace
download (11).jpeg,gongli,yangmi,0.12725808,False,MagFace
images (37).jpeg,gongli,henrygolding,0.12844844,False,MagFace
images - 2025-07-22T155411.369.jpeg,gongli,henrygolding,0.12781024,False,MagFace
09ca4912922019f7ac585b75c65fa134.jpg,yangmi,henrygolding,0.1273241,False,MagFace
images - 2025-07-22T165147.336.jpeg,yangmi,yangmi,0.12817691,True,MagFace
images - 2025-07-22T165147.948.jpeg,yangmi,henrygolding,0.12755772,False,MagFace
download (6).jpeg,yangmi,yangmi,0.12767112,True,MagFace
images - 2025-07-22T165147.444.jpeg,yangmi,henrygolding,0.12761068,False,MagFace
images (87).jpeg,yangmi,yangmi,0.1272578,True,MagFace
download (10).jpeg,yangmi,henrygolding,0.12701157,False,MagFace
download (22).jpeg,yangmi,henrygolding,0.1272941,False,MagFace
images - 2025-07-22T165147.029.jpeg,yangmi,yangmi,0.12768382,True,MagFace
images (33).jpeg,yangmi,yangmi,0.12820314,True,MagFace
images - 2025-07-22T165147.932.jpeg,yangmi,henrygolding,0.12737148,False,MagFace
images - 2025-07-22T165147.196.jpeg,yangmi,henrygolding,0.13104616,False,MagFace
images - 2025-07-22T165147.907.jpeg,yangmi,yangmi,0.1275013,True,MagFace
images - 2025-07-22T165147.146.jpeg,yangmi,yangmi,0.12815121,True,MagFace
images - 2025-07-22T165147.060.jpeg,yangmi,henrygolding,0.1279563,False,MagFace
images - 2025-07-22T165147.239.jpeg,yangmi,yangmi,0.12728573,True,MagFace
images - 2025-07-22T165147.911.jpeg,yangmi,henrygolding,0.12773302,False,MagFace
images - 2025-07-22T165147.205.jpeg,yangmi,yangmi,0.12756991,True,MagFace
images - 2025-07-22T165147.145.jpeg,yangmi,yangmi,0.12741883,True,MagFace
download (9).jpeg,yangmi,yangmi,0.12752259,True,MagFace
download (20).jpeg,yangmi,yangmi,0.12769243,True,MagFace
images (2).jpeg,yangmi,yangmi,0.12748548,True,MagFace
images - 2025-07-22T165146.881.jpeg,yangmi,yangmi,0.12770899,True,MagFace
images (93).jpeg,yangmi,henrygolding,0.13232675,False,MagFace
images (60).jpeg,yangmi,yangmi,0.12933435,True,MagFace
images - 2025-07-22T165146.930.jpeg,yangmi,henrygolding,0.12744567,False,MagFace
dd259ba8-c64c-11ea-86df-6d561651b5f4_image_hires_182236.jpg,priyankachopra,yangmi,0.12698683,False,MagFace
Priyanka-Chopra-on-straddling-Bollywood-and-Hollywood-To-be-able-to-work-in-two-of-the-largest-film-industries-in-the-world….jpg,priyankachopra,yangmi,0.12729988,False,MagFace
images - 2025-07-22T160420.760.jpeg,priyankachopra,yangmi,0.12848245,False,MagFace
images - 2025-07-22T160420.982.jpeg,priyankachopra,henrygolding,0.12766127,False,MagFace
images (47).jpeg,priyankachopra,henrygolding,0.13542989,False,MagFace
download (6).jpeg,priyankachopra,yangmi,0.1282814,False,MagFace
images - 2025-07-22T160420.629.jpeg,priyankachopra,henrygolding,0.1273322,False,MagFace
images (3).jpeg,priyankachopra,henrygolding,0.12765591,False,MagFace
images (85).jpeg,priyankachopra,henrygolding,0.1282612,False,MagFace
images - 2025-07-22T160420.370.jpeg,priyankachopra,henrygolding,0.12747137,False,MagFace
images (15).jpeg,priyankachopra,yangmi,0.12749574,False,MagFace
images (82).jpeg,priyankachopra,yangmi,0.12834053,False,MagFace
download (17).jpeg,priyankachopra,yangmi,0.12726001,False,MagFace
images - 2025-07-22T160420.614.jpeg,priyankachopra,henrygolding,0.12764215,False,MagFace
download (16).jpeg,priyankachopra,henrygolding,0.12780945,False,MagFace
images - 2025-07-22T160420.770.jpeg,priyankachopra,yangmi,0.12751932,False,MagFace
images (32).jpeg,priyankachopra,henrygolding,0.13055062,False,MagFace
images - 2025-07-22T160420.627.jpeg,priyankachopra,henrygolding,0.12736955,False,MagFace
images (37).jpeg,priyankachopra,henrygolding,0.12782204,False,MagFace
images (60).jpeg,priyankachopra,sitinurhaliza,0.43473178,False,MagFace
images (8).jpeg,priyankachopra,yangmi,0.12736693,False,MagFace
images - 2025-07-22T160420.759.jpeg,priyankachopra,henrygolding,0.12767448,False,MagFace
Irrfan-Khan-1-2024-04-c1507bcf500dd70d642d0b363464406b.jpg,irrfankhan,yangmi,0.1282195,False,MagFace
maxresdefault.jpg,irrfankhan,henrygolding,0.1422557,False,MagFace
irrfan-khan-dead.jpg,irrfankhan,yangmi,0.12782648,False,MagFace
d1d32f46d80205a1a504580779c886bc.jpg,irrfankhan,yangmi,0.12748514,False,MagFace
irrfan-khan_640x480_81495104135.jpg,irrfankhan,yangmi,0.1282345,False,MagFace
