image_path,true_celebrity,predicted_celebrity,confidence,correct,model
cac-tap-phim-co-su-tham-gia-cua-urassaya-sperbund-thumbail.jpg,urassayasperbund,yangmi,0.13001658,False,SphereFace
urassaya-sperbund-attends-the-louis-vuitton-fallwinter-2023-2024-ready-to-wear-collection-presented-monday-march-6-2023-in-paris-vianney-le-caerinvisionap-2P51JY8.jpg,urassayasperbund,yangmi,0.13258514,False,SphereFace
images (94).jpeg,urassayasperbund,yangmi,0.13476732,False,SphereFace
images - 2025-07-22T160915.784.jpeg,urassayasperbund,yangmi,0.13326289,False,SphereFace
images - 2025-07-22T160915.516.jpeg,urassayasperbund,yangmi,0.12937897,False,SphereFace
images - 2025-07-22T160915.524.jpeg,urassayasperbund,yangmi,0.1402387,False,SphereFace
images (83).jpeg,urassayasperbund,yangmi,0.12966797,False,SphereFace
images (82).jpeg,urassayasperbund,yangmi,0.1303169,False,SphereFace
images - 2025-07-22T160916.133.jpeg,urassayasperbund,yangmi,0.1299234,False,SphereFace
images - 2025-07-22T160915.486.jpeg,urassayasperbund,sitinurhaliza,0.2117026,False,SphereFace
download (16).jpeg,urassayasperbund,sitinurhaliza,0.1241858,False,SphereFace
download (21).jpeg,urassayasperbund,yangmi,0.13945894,False,SphereFace
images - 2025-07-22T160916.128.jpeg,urassayasperbund,yangmi,0.14088684,False,SphereFace
download (14).jpeg,urassayasperbund,yangmi,0.13762137,False,SphereFace
images (26).jpeg,urassayasperbund,yangmi,0.1338927,False,SphereFace
download (26).jpeg,urassayasperbund,yangmi,0.13419102,False,SphereFace
2849b192-75db-43b7-9e73-7bbc0697c5cd_11.jpeg,urassayasperbund,yangmi,0.13779466,False,SphereFace
images - 2025-07-22T160915.845.jpeg,urassayasperbund,yangmi,0.13271315,False,SphereFace
urassaya-sperbund-d39bf871-90d2-4bc5-bfb2-c82f127de37-resize-750.jpeg,urassayasperbund,yangmi,0.13721687,False,SphereFace
henry_golding2.jpg,henrygolding,sitinurhaliza,0.19194205,False,SphereFace
"1200px-Carmen_Roberts_and_Henry_Golding,_Presenters,_The_Travel_Show,_BBC_(cropped).jpg",henrygolding,yangmi,0.13689785,False,SphereFace
henrygolding.jpg,henrygolding,yangmi,0.13265912,False,SphereFace
rs_1200x1200-220309073150-1200-henry-golding-for-david-yurman-gj.jpg,henrygolding,yangmi,0.13256587,False,SphereFace
HenryGoldingCrazyRichAsians.jpg,henrygolding,yangmi,0.13021527,False,SphereFace
_103395645_warnerbros_cra-01079.jpg,henrygolding,yangmi,0.14095329,False,SphereFace
Henry_Golding_at_the_2024_Toronto_International_Film_Festival_(Cropped).jpg,henrygolding,yangmi,0.13165012,False,SphereFace
images (14).jpeg,henrygolding,sitinurhaliza,0.13438646,False,SphereFace
images (94).jpeg,henrygolding,yangmi,0.13576797,False,SphereFace
images - 2025-07-22T154439.130.jpeg,henrygolding,henrygolding,0.12164979,True,SphereFace
download (5).jpeg,henrygolding,yangmi,0.13200447,False,SphereFace
images - 2025-07-22T154439.413.jpeg,henrygolding,yangmi,0.13940117,False,SphereFace
images - 2025-07-22T154439.547.jpeg,henrygolding,yangmi,0.13091733,False,SphereFace
images - 2025-07-22T154439.383.jpeg,henrygolding,yangmi,0.14076649,False,SphereFace
download (18).jpeg,henrygolding,yangmi,0.14252356,False,SphereFace
images - 2025-07-22T154439.072.jpeg,henrygolding,sitinurhaliza,0.12430057,False,SphereFace
images - 2025-07-22T154439.226.jpeg,henrygolding,sitinurhaliza,0.13073246,False,SphereFace
images - 2025-07-22T154439.359.jpeg,henrygolding,yangmi,0.13156638,False,SphereFace
download (9).jpeg,henrygolding,yangmi,0.1329961,False,SphereFace
download (11).jpeg,henrygolding,yangmi,0.13966605,False,SphereFace
images - 2025-07-22T154439.529.jpeg,henrygolding,yangmi,0.1284927,False,SphereFace
images (59).jpeg,henrygolding,yangmi,0.13041206,False,SphereFace
images - 2025-07-22T154439.198.jpeg,henrygolding,henrygolding,0.12742168,True,SphereFace
ronny-chieng-martial-arts-comedy-film-project-696x442.jpg,ronnychieng,yangmi,0.13274342,False,SphereFace
Ronny-Chieng-1.jpg,ronnychieng,yangmi,0.12477647,False,SphereFace
maxresdefault (1).jpg,ronnychieng,sitinurhaliza,0.28672928,False,SphereFace
images (20).jpeg,ronnychieng,yangmi,0.13683948,False,SphereFace
images - 2025-07-22T154841.136.jpeg,ronnychieng,yangmi,0.13158639,False,SphereFace
images (7).jpeg,ronnychieng,sitinurhaliza,0.16323389,False,SphereFace
images (43).jpeg,ronnychieng,sitinurhaliza,0.18719934,False,SphereFace
images - 2025-07-22T154841.130.jpeg,ronnychieng,sitinurhaliza,0.42460686,False,SphereFace
images (38).jpeg,ronnychieng,yangmi,0.13160709,False,SphereFace
images (15).jpeg,ronnychieng,yangmi,0.13256739,False,SphereFace
download (5).jpeg,ronnychieng,yangmi,0.12968282,False,SphereFace
images - 2025-07-22T154841.440.jpeg,ronnychieng,yangmi,0.13342856,False,SphereFace
images (96).jpeg,ronnychieng,henrygolding,0.12782891,False,SphereFace
images (70).jpeg,ronnychieng,sitinurhaliza,0.44277632,False,SphereFace
download (9).jpeg,ronnychieng,sitinurhaliza,0.27612633,False,SphereFace
images (89).jpeg,ronnychieng,yangmi,0.12931836,False,SphereFace
images - 2025-07-22T154841.120.jpeg,ronnychieng,sitinurhaliza,0.36393517,False,SphereFace
images - 2025-07-22T154841.350.jpeg,ronnychieng,yangmi,0.13327982,False,SphereFace
GONG-LI_Head-of-Jury-for-the-55th-GHA-e1531859364238.jpg,gongli,yangmi,0.12970717,False,SphereFace
hq720.jpg,gongli,yangmi,0.13954088,False,SphereFace
250px-Gong_Li_Cannes_2011.jpg,gongli,sitinurhaliza,0.257139,False,SphereFace
001ec9790963150dec6d00.jpg,gongli,yangmi,0.12988846,False,SphereFace
images - 2025-07-22T155411.111.jpeg,gongli,yangmi,0.12790911,False,SphereFace
images - 2025-07-22T155411.098.jpeg,gongli,yangmi,0.13540979,False,SphereFace
images (27).jpeg,gongli,yangmi,0.13431232,False,SphereFace
images - 2025-07-22T155411.125.jpeg,gongli,yangmi,0.13409348,False,SphereFace
images - 2025-07-22T155411.288.jpeg,gongli,yangmi,0.13302599,False,SphereFace
images - 2025-07-22T155411.116.jpeg,gongli,yangmi,0.13001972,False,SphereFace
images - 2025-07-22T155411.131.jpeg,gongli,yangmi,0.124664254,False,SphereFace
download (7).jpeg,gongli,yangmi,0.13191397,False,SphereFace
images (6).jpeg,gongli,yangmi,0.12983508,False,SphereFace
download (11).jpeg,gongli,yangmi,0.1353062,False,SphereFace
images (37).jpeg,gongli,yangmi,0.13315134,False,SphereFace
images - 2025-07-22T155411.369.jpeg,gongli,yangmi,0.1310449,False,SphereFace
09ca4912922019f7ac585b75c65fa134.jpg,yangmi,yangmi,0.1361841,True,SphereFace
images - 2025-07-22T165147.336.jpeg,yangmi,yangmi,0.14473622,True,SphereFace
images - 2025-07-22T165147.948.jpeg,yangmi,yangmi,0.12976524,True,SphereFace
download (6).jpeg,yangmi,yangmi,0.1392638,True,SphereFace
images - 2025-07-22T165147.444.jpeg,yangmi,henrygolding,0.12693599,False,SphereFace
images (87).jpeg,yangmi,henrygolding,0.12626585,False,SphereFace
download (10).jpeg,yangmi,yangmi,0.1334389,True,SphereFace
download (22).jpeg,yangmi,yangmi,0.1334061,True,SphereFace
images - 2025-07-22T165147.029.jpeg,yangmi,yangmi,0.13419113,True,SphereFace
images (33).jpeg,yangmi,sitinurhaliza,0.14497045,False,SphereFace
images - 2025-07-22T165147.932.jpeg,yangmi,yangmi,0.1318899,True,SphereFace
