image_path,true_celebrity,predicted_celebrity,confidence,correct,model
cac-tap-phim-co-su-tham-gia-cua-urassaya-sperbund-thumbail.jpg,urassayasperbund,priyankachopra,0.13620985,False,UniFace
urassaya-sperbund-attends-the-louis-vuitton-fallwinter-2023-2024-ready-to-wear-collection-presented-monday-march-6-2023-in-paris-vianney-le-caerinvisionap-2P51JY8.jpg,urassayasperbund,sitinurhaliza,0.1301423,False,UniFace
images (94).jpeg,urassayasperbund,yangmi,0.133037,False,UniFace
images - 2025-07-22T160915.784.jpeg,urassayasperbund,priyankachopra,0.1373136,False,UniFace
images - 2025-07-22T160915.516.jpeg,urassayasperbund,yangmi,0.13080008,False,UniFace
images - 2025-07-22T160915.524.jpeg,urassayasperbund,priyankachopra,0.13703218,False,UniFace
images (83).jpeg,urassayasperbund,priyankachopra,0.13649176,False,UniFace
images (82).jpeg,urassayasperbund,priyankachopra,0.1350873,False,UniFace
images - 2025-07-22T160916.133.jpeg,urassayasperbund,priyankachopra,0.13684313,False,UniFace
images - 2025-07-22T160915.486.jpeg,urassayasperbund,yangmi,0.13074106,False,UniFace
download (16).jpeg,urassayasperbund,priyankachopra,0.13690738,False,UniFace
download (21).jpeg,urassayasperbund,yangmi,0.13315347,False,UniFace
images - 2025-07-22T160916.128.jpeg,urassayasperbund,priyankachopra,0.13728261,False,UniFace
download (14).jpeg,urassayasperbund,yangmi,0.13217853,False,UniFace
images (26).jpeg,urassayasperbund,priyankachopra,0.13707237,False,UniFace
download (26).jpeg,urassayasperbund,yangmi,0.13256752,False,UniFace
2849b192-75db-43b7-9e73-7bbc0697c5cd_11.jpeg,urassayasperbund,priyankachopra,0.13738084,False,UniFace
images - 2025-07-22T160915.845.jpeg,urassayasperbund,priyankachopra,0.13697025,False,UniFace
urassaya-sperbund-d39bf871-90d2-4bc5-bfb2-c82f127de37-resize-750.jpeg,urassayasperbund,priyankachopra,0.1371562,False,UniFace
henry_golding2.jpg,henrygolding,priyankachopra,0.13600594,False,UniFace
"1200px-Carmen_Roberts_and_Henry_Golding,_Presenters,_The_Travel_Show,_BBC_(cropped).jpg",henrygolding,yangmi,0.13310656,False,UniFace
henrygolding.jpg,henrygolding,yangmi,0.12886976,False,UniFace
rs_1200x1200-220309073150-1200-henry-golding-for-david-yurman-gj.jpg,henrygolding,priyankachopra,0.13693123,False,UniFace
HenryGoldingCrazyRichAsians.jpg,henrygolding,priyankachopra,0.1346899,False,UniFace
_103395645_warnerbros_cra-01079.jpg,henrygolding,priyankachopra,0.1366376,False,UniFace
Henry_Golding_at_the_2024_Toronto_International_Film_Festival_(Cropped).jpg,henrygolding,sitinurhaliza,0.13614507,False,UniFace
images (14).jpeg,henrygolding,sitinurhaliza,0.26361725,False,UniFace
images (94).jpeg,henrygolding,yangmi,0.13238561,False,UniFace
images - 2025-07-22T154439.130.jpeg,henrygolding,priyankachopra,0.13407551,False,UniFace
download (5).jpeg,henrygolding,yangmi,0.1287135,False,UniFace
images - 2025-07-22T154439.413.jpeg,henrygolding,priyankachopra,0.13410334,False,UniFace
images - 2025-07-22T154439.547.jpeg,henrygolding,priyankachopra,0.1373984,False,UniFace
images - 2025-07-22T154439.383.jpeg,henrygolding,priyankachopra,0.13670495,False,UniFace
download (18).jpeg,henrygolding,yangmi,0.13332027,False,UniFace
images - 2025-07-22T154439.072.jpeg,henrygolding,yangmi,0.13160928,False,UniFace
images - 2025-07-22T154439.226.jpeg,henrygolding,sitinurhaliza,0.21901543,False,UniFace
images - 2025-07-22T154439.359.jpeg,henrygolding,priyankachopra,0.13707355,False,UniFace
download (9).jpeg,henrygolding,priyankachopra,0.13652153,False,UniFace
download (11).jpeg,henrygolding,priyankachopra,0.13726418,False,UniFace
images - 2025-07-22T154439.529.jpeg,henrygolding,yangmi,0.1331644,False,UniFace
images (59).jpeg,henrygolding,priyankachopra,0.13635403,False,UniFace
images - 2025-07-22T154439.198.jpeg,henrygolding,yangmi,0.13225909,False,UniFace
ronny-chieng-martial-arts-comedy-film-project-696x442.jpg,ronnychieng,sitinurhaliza,0.17253779,False,UniFace
Ronny-Chieng-1.jpg,ronnychieng,yangmi,0.13301463,False,UniFace
maxresdefault (1).jpg,ronnychieng,sitinurhaliza,0.56018066,False,UniFace
images (20).jpeg,ronnychieng,yangmi,0.13235681,False,UniFace
images - 2025-07-22T154841.136.jpeg,ronnychieng,priyankachopra,0.13675725,False,UniFace
images (7).jpeg,ronnychieng,sitinurhaliza,0.8794577,False,UniFace
images (43).jpeg,ronnychieng,sitinurhaliza,0.14764355,False,UniFace
images - 2025-07-22T154841.130.jpeg,ronnychieng,sitinurhaliza,0.25080445,False,UniFace
images (38).jpeg,ronnychieng,priyankachopra,0.13692153,False,UniFace
images (15).jpeg,ronnychieng,priyankachopra,0.13287999,False,UniFace
download (5).jpeg,ronnychieng,priyankachopra,0.13507663,False,UniFace
images - 2025-07-22T154841.440.jpeg,ronnychieng,sitinurhaliza,0.19400963,False,UniFace
images (96).jpeg,ronnychieng,yangmi,0.12863132,False,UniFace
images (70).jpeg,ronnychieng,sitinurhaliza,0.15590832,False,UniFace
download (9).jpeg,ronnychieng,sitinurhaliza,0.20238669,False,UniFace
images (89).jpeg,ronnychieng,priyankachopra,0.13596566,False,UniFace
images - 2025-07-22T154841.120.jpeg,ronnychieng,sitinurhaliza,0.21926717,False,UniFace
images - 2025-07-22T154841.350.jpeg,ronnychieng,priyankachopra,0.13708833,False,UniFace
GONG-LI_Head-of-Jury-for-the-55th-GHA-e1531859364238.jpg,gongli,priyankachopra,0.13498779,False,UniFace
